Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Hana-West\Hana-18.147,01/20/16 - 11:29,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,01/20/16 - 11:42,25409,7529,8104,-281,22.3,133.2,8.780,68.40,91.1,472.0,281.2,1898921.8,38,19313,12346,13366,8941,248,248,100,103.3,
Hana-West\Hana-18.148,01/23/16 - 10:50,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,262,262,100,108.0,
Hana-West\Hana-18.149,01/30/16 - 09:06,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,485,335,25,129.9,
Hana-West\Hana-18.150,01/31/16 - 11:03,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,290,286,28,111.8,
Hana-West\Hana-18.151,02/06/16 - 08:14,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,312,292,28,129.6,
Hana-West\Hana-18.152,02/13/16 - 08:00,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,395,318,30,122.2,
Hana-West\Hana-18.153,02/14/16 - 13:14,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,362,362,100,140.7,
Hana-West\Hana-18.154,02/17/16 - 11:15,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,02/17/16 - 11:28,24464,7615,7234,-594,19.2,133.7,8.780,64.36,86.0,445.9,594.2,1829987.8,39,16823,12346,9983,8941,296,287,29,118.4,
g,03/05/16 - 10:20,Hana-18,3.500,2.250,4942.00,4942.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,331,297,27,122.1,
Hana-West\Hana-18.156,03/19/16 - 08:16,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,259,233,30,103.5,
Hana-West\Hana-18.157,04/09/16 - 09:23,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,332,253,28,105.9,
Hana-West\Hana-18.158,04/16/16 - 09:54,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,232,225,27,92.1,
Hana-West\Hana-18.159,04/23/16 - 09:18,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,278,237,27,96.1,
Hana-West\Hana-18.160,05/07/16 - 17:35,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,287,243,32,94.3,
Hana-West\Hana-18.161,05/07/16 - 18:15,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,05/07/16 - 18:15,14046,10910,3154,-974,2.4,141.8,3.644,X,39.7,85.3,974.3,1056852.8,0,X,X,X,X,X,X,X,X,
Hana-West\Hana-18.162,05/13/16 - 10:19,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,164,164,100,77.0,
Hana-West\Hana-18.163,05/15/16 - 09:44,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,05/15/16 - 09:44,23958,6520,8615,-321,22.5,137.4,8.491,80.39,110.4,553.5,320.6,1799016.0,0,19254,11189,17483,8828,X,X,X,X,
Hana-West\Hana-18.164,05/21/16 - 08:44,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,05/21/16 - 08:55,24261,8239,9370,-610,21.6,126.9,6.792,88.85,112.7,452.0,609.7,1718145.7,0,21811,11189,14227,8828,155,155,100,60.5,
Hana-West\Hana-18.165,06/04/16 - 09:07,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,171,171,100,72.3,
Hana-West\Hana-18.166,06/18/16 - 08:27,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,121,121,100,73.4,
Hana-West\Hana-18.167,06/25/16 - 08:08,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,191,191,100,80.2,
Hana-West\Hana-18.168,07/09/16 - 08:45,Hana-18,3.500,2.250,4880.00,4880.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,176,176,100,80.3,
Hana-West\Hana-18.169,07/23/16 - 13:27,Hana-18,3.500,2.250,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,99,99,100,47.2,
Hana-West\Hana-18.170,07/31/16 - 10:02,Hana-18,3.500,2.250,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,168.000,X,07/31/16 - 10:14,25417,8865,8532,-1318,22.8,150.7,6.667,80.44,121.3,477.2,1317.5,X,0,21025,12659,14552,8785,155,155,100,67.3,
Hana-West\Hana-18.171,08/06/16 - 14:04,Hana-18,3.500,2.250,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,127,127,100,56.2,
Hana-West\Hana-18.172,08/13/16 - 09:30,Hana-18,3.500,2.250,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,132,132,100,65.1,
Hana-West\Hana-18.173,08/19/16 - 11:52,Hana-18,3.500,2.250,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,56,56,100,42.2,
Hana-West\Hana-18.174,08/20/16 - 10:03,Hana-18,3.500,2.250,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,13,13,100,36.5,
