Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1432825765quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-A-42.053,04/24/15 - 10:29,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,210,180,85,72.9,
East Arta\E-A-42.054,05/01/15 - 09:01,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,238,215,90,86.1,
East Arta\E-A-42.055,05/21/15 - 09:11,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,188,161,85,64.3,
East Arta\E-A-42.056,07/09/15 - 09:24,E-A-42,3.500,1.250,4455.00,4455.00,0.04455,0.04455,4473.00,4473.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,243,203,83,81.8,
East Arta\E-Arata-17.001,11/17/15 - 08:52,E-Arata-17,3.500,X,3000.00,3000.00,0.03,0.03,3500.00,3500.00,X,40,1.05,X,X,100.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,536,536,100,184.6,
East Arta\E-Arta-18.013,11/13/15 - 09:55,E-Arta-18,3.500,3.750,3743.00,3743.00,0.03743,0.03743,4092.00,4092.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,767,746,97,290.1,
East Arta\E-Arta-18.014,11/16/15 - 08:33,E-Arta-18,3.500,3.750,3743.00,3743.00,0.03743,0.03743,4092.00,4092.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1175,1175,100,459.7,
East Arta\E-Arta-18.015,11/30/15 - 09:28,E-Arta-18,X,X,X,X,0.03743,0.03743,4124.00,4124.00,X,20,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1314,1314,100,X,
East Arta\E-Arta-18.016,12/11/15 - 08:46,E-Arta-18,X,X,X,X,0.03743,0.03743,4124.00,4124.00,X,20,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1039,1039,100,X,
East Arta\E-Arta-19.081,11/18/15 - 15:38,E-Arta-19,3.500,2.250,4195.00,4195.00,0.042,0.042,4314.00,4314.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2281,2281,100,885.7,
East Arta\E-Arta-19.082,12/11/15 - 08:55,E-Arta-19,X,X,X,X,0.042,0.042,4324.00,4324.00,X,20,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2181,2181,100,X,
East Arta\E-Arta-21.115,01/07/15 - 10:03,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,798,798,100,314.0,
East Arta\E-Arta-21.116,01/14/15 - 08:54,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2136,2136,100,830.1,
East Arta\E-Arta-21.117,01/14/15 - 09:02,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,786,724,91,283.3,
East Arta\E-Arta-21.118,03/30/15 - 11:05,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1431,1431,100,556.8,
East Arta\E-Arta-21.119,04/03/15 - 10:30,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,816,749,90,292.5,
East Arta\E-Arta-21.120,04/06/15 - 10:02,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,131,131,100,53.3,
East Arta\E-Arta-21.121,05/18/15 - 09:18,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,712,586,79,228.6,
East Arta\E-Arta-21.122,06/01/15 - 09:13,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2024,1514,73,590.0,
East Arta\E-Arta-21.123,06/01/15 - 13:47,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,391,319,74,125.9,
East Arta\E-Arta-21.124,06/15/15 - 09:44,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,203,160,53,65.8,
East Arta\E-Arta-21.125,06/29/15 - 09:56,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,203,159,52,64.8,
East Arta\E-Arta-21.126,07/06/15 - 09:16,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,406,287,59,148.0,
East Arta\E-Arta-21.127,07/13/15 - 09:35,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,2.6,
East Arta\E-Arta-21.128,07/13/15 - 10:04,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,743,581,74,229.6,
East Arta\E-Arta-21.129,07/20/15 - 08:10,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1593,1268,78,497.0,
East Arta\E-Arta-21.130,07/27/15 - 08:42,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2153,1907,88,742.0,
