Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-797585780quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-10.189,01/30/16 - 10:10,Hana-10,3.500,1.750,4925.00,4925.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,101.059,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2779,2779,100,1018.6,
Hana\Hana-10.190,02/13/16 - 08:52,Hana-10,3.500,1.750,4925.00,4925.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,101.059,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3071,3071,100,1123.5,
Hana\Hana-10.191,03/12/16 - 10:16,Hana-10,3.500,1.750,4925.00,4925.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,101.059,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1628,1628,100,601.8,
Hana\Hana-10.192,08/27/16 - 08:45,Hana-10,3.500,1.750,4925.00,4925.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,101.059,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2353,2353,100,859.4,
Hana\Hana-10.193,09/03/16 - 09:10,Hana-10,3.500,1.750,4925.00,4925.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,101.059,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2714,2714,100,990.6,
Hana\Hana-10.194,10/08/16 - 08:54,Hana-10,3.500,1.750,4925.00,4925.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,101.059,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2112,2112,100,771.2,
Hana\Hana-11.199,01/23/16 - 11:03,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,407,407,100,148.4,
Hana\Hana-11.200,01/27/16 - 10:54,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,01/27/16 - 11:06,23403,5681,8127,-301,27.8,135.8,9.278,89.39,121.4,664.8,300.9,1741353.3,0,16756,10486,9930,8868,443,430,97,164.1,
Hana\Hana-11.201,01/30/16 - 09:21,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,407,407,100,155.1,
Hana\Hana-11.202,02/06/16 - 09:07,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,398,398,100,152.2,
Hana\Hana-11.203,02/07/16 - 08:16,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,421,421,100,141.6,
Hana\Hana-11.204,02/07/16 - 08:27,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,02/07/16 - 08:27,23668,5683,8436,-252,28.6,134.2,9.278,91.11,122.3,669.7,251.6,1761329.1,0,9542,10486,859,8868,X,X,X,X,
Hana\Hana-11.205,02/13/16 - 09:05,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,493,483,98,184.0,
Hana\Hana-11.206,02/20/16 - 09:07,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,329,329,100,156.5,
Hana\Hana-11.207,02/20/16 - 09:17,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,353,353,100,165.0,
Hana\Hana-11.208,03/05/16 - 11:01,Hana-11,3.500,2.250,4902.00,4902.00,0.05051,0.05051,4923.00,4923.00,X,24.9,1.05,X,912000,144.563,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,433,385,89,147.7,
