Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1742857231quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-Arta-2.002,10/22/17 - 16:00,E-Arta-2,3.500,1.750,3933.00,3933.00,0.03908,0.03908,3730.00,3730.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,236,236,100,93.9,
East Arta\E-Arta-2.003,12/03/17 - 09:42,E-Arta-2,3.500,1.750,3933.00,3933.00,0.03908,0.03908,3730.00,3730.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,114,114,100,45.9,
East Arta\E-Arta-2.116,09/03/17 - 09:17,E-Arta-2,3.500,1.750,3933.00,3933.00,0.03908,0.03908,3730.00,3730.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,227,227,100,89.8,
East Arta\E-Arta-20.001,08/13/17 - 09:41,E-Arta-20,3.500,1.250,4762.60,4762.60,0.0477,0.0477,4755.00,4755.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3990,3990,100,1537.2,
East Arta\E-Arta-20.002,09/15/17 - 09:24,E-Arta-20,3.500,1.250,4762.60,4762.60,0.0477,0.0477,4755.00,4755.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4088,4088,100,1569.6,
East Arta\E-Arta-20.003,11/09/17 - 09:47,E-Arta-20,3.500,1.250,4762.60,4762.60,0.0477,0.0477,4755.00,4755.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4079,4079,100,1566.1,
East Arta\E-Arta-20.172,08/11/17 - 08:31,E-Arta-20,3.500,1.250,4762.60,4762.60,0.0477,0.0477,4755.00,4755.00,X,20,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3959,3959,100,1525.7,
East Arta\E-Arta-21.198,01/02/17 - 09:21,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,570,480,83,188.1,
East Arta\E-Arta-21.199,01/12/17 - 09:00,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,196,131,56,53.4,
East Arta\E-Arta-21.200,01/16/17 - 08:29,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,128,101,67,40.6,
East Arta\E-Arta-21.201,01/22/17 - 08:42,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,653,624,95,244.6,
East Arta\E-Arta-21.202,01/31/17 - 08:32,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,547,547,100,213.1,
East Arta\E-Arta-21.203,02/06/17 - 09:44,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,280,280,100,110.8,
East Arta\E-Arta-21.204,02/13/17 - 10:23,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,309,222,67,90.4,
East Arta\E-Arta-21.205,03/06/17 - 09:16,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,341,212,56,86.8,
East Arta\E-Arta-21.206,03/13/17 - 09:33,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,978,940,96,368.3,
East Arta\E-Arta-21.207,03/20/17 - 09:34,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,280,188,61,76.4,
East Arta\E-Arta-21.208,04/03/17 - 08:35,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1588,1118,70,439.6,
East Arta\E-Arta-21.209,04/10/17 - 08:22,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1345,1345,100,525.5,
East Arta\E-Arta-21.210,04/17/17 - 09:12,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,04/17/17 - 09:26,30726,5612,15404,-178,39.5,128.0,7.965,97.77,125.1,878.8,177.7,2252524.4,0,27201,10418,23102,11255,1566,1199,76,474.8,
East Arta\E-Arta-21.211,05/01/17 - 09:11,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1601,1601,100,624.7,
East Arta\E-Arta-21.212,05/08/17 - 08:10,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,05/08/17 - 08:19,29753,5085,14618,-32,38.8,129.4,8.824,81.56,105.5,821.0,31.8,2175411.2,0,21938,10418,11729,11255,468,468,100,183.4,
East Arta\E-Arta-21.213,05/15/17 - 09:10,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1186,694,57,276.1,
East Arta\E-Arta-21.214,06/19/17 - 08:10,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,454,442,97,171.4,
East Arta\E-Arta-21.215,07/03/17 - 15:53,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1520,1520,100,592.2,
East Arta\E-Arta-21.216,07/10/17 - 08:30,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,980,678,68,268.0,
East Arta\E-Arta-21.217,07/26/17 - 08:51,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,116,92,66,38.6,
East Arta\E-Arta-21.218,08/10/17 - 09:42,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,08/10/17 - 09:57,32025,6162,16468,-193,46.7,125.4,8.696,99.19,124.3,953.4,193.0,2371603.6,0,24645,10418,12514,11255,155,120,68,49.4,
East Arta\E-Arta-21.219,08/14/17 - 09:44,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,198,146,66,59.3,
East Arta\E-Arta-21.220,10/25/17 - 09:33,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,912000,146.019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1840,1840,100,716.5,
East Arta\E-Arta-21.221,12/28/17 - 08:57,E-Arta-21,3.500,2.750,4164.59,4164.59,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,144.000,X,12/28/17 - 08:57,17432,5627,3762,-1202,12.9,141.5,8.411,74.78,105.8,784.9,1202.2,X,0,13447,10418,12088,11255,1910,1910,100,739.1,
