Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1296773676quid (%),Pump Intake Pressure (psi (g)),
Arta\arta-16.080,02/24/16 - 09:07,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,02/24/16 - 09:17,15031,6509,4873,-1784,1.9,96.0,4.749,8.77,8.4,14.3,1784.1,693835.0,17,12642,7480,11430,3281,X,X,100,4.0,
Arta\arta-16.081,03/20/16 - 09:09,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,3.8,
Arta\arta-16.082,03/27/16 - 09:36,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,3.9,
Arta\Arta-17.185,01/03/16 - 08:54,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1161,1161,100,456.6,
Arta\Arta-17.186,01/31/16 - 08:40,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1366,1345,98,528.0,
Arta\Arta-17.187,02/02/16 - 09:15,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,02/02/16 - 09:25,15362,4294,4706,-527,12.5,140.6,7.258,98.11,138.0,591.1,527.1,1020425.5,26,10962,7498,9365,6723,1535,1535,100,603.2,
Arta\Arta-17.188,02/10/16 - 09:05,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1476,1476,100,578.6,
Arta\Arta-17.189,02/12/16 - 08:54,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1813,1813,100,711.2,
Arta\Arta-17.190,02/24/16 - 08:50,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1995,1995,100,782.3,
Arta\Arta-17.191,03/09/16 - 08:33,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2054,2054,100,805.4,
Arta\Arta-17.192,03/20/16 - 09:01,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2105,2105,100,825.0,
Arta\Arta-17.193,04/01/16 - 08:39,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2105,2105,100,824.9,
Arta\Arta-2.096,01/03/16 - 09:26,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,125,74,59,30.5,
Arta\Arta-2.097,01/31/16 - 09:14,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,137,71,52,29.3,
Arta\Arta-2.098,02/21/16 - 09:48,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,141,92,66,38.0,
