Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 716680292quid (%),Pump Intake Pressure (psi (g)),
Arta\Arta-15.096,09/10/17 - 09:50,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,182,182,100,73.6,
Arta\Arta-15.097,09/24/17 - 09:49,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,139,138,97,56.1,
Arta\Arta-15.098,10/08/17 - 09:29,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,198,198,100,79.9,
Arta\Arta-15.099,11/27/17 - 09:18,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,149,149,100,60.4,
Arta\Arta-15.100,12/03/17 - 09:23,Arta-15,3.500,1.750,3503.00,3503.00,0.03509,0.03509,3390.00,3390.00,X,19,1.05,X,320000,85.535,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,190,190,100,76.7,
Arta\arta-16.095,01/29/17 - 15:12,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,58,55,95,20.7,
Arta\arta-16.096,02/02/17 - 08:05,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1524,1524,100,513.2,
Arta\arta-16.097,02/06/17 - 11:17,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,156,124,80,47.5,
Arta\arta-16.098,02/16/17 - 09:41,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,167,126,75,47.7,
Arta\arta-16.099,02/19/17 - 09:33,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,61.3,
Arta\arta-16.100,03/01/17 - 08:41,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,70.4,
Arta\arta-16.101,03/02/17 - 09:48,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,80,42,53,33.7,
Arta\arta-16.102,03/04/17 - 09:39,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,03/04/17 - 10:01,11784,4294,1936,-3596,4.4,99.5,7.531,100.00,99.5,267.7,3596.2,545694.2,0,7716,7480,6935,3281,85,85,100,39.9,
Arta\arta-16.103,03/08/17 - 09:31,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,220,162,74,61.4,
Arta\arta-16.104,03/09/17 - 10:59,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,132,132,100,50.8,
Arta\arta-16.105,03/26/17 - 09:05,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,274,156,57,55.3,
Arta\arta-16.106,04/09/17 - 09:03,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,283,94,33,35.5,
Arta\arta-16.107,04/18/17 - 08:54,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,253,226,89,80.6,
Arta\arta-16.108,05/15/17 - 11:06,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,271,201,74,69.4,
Arta\arta-16.109,07/11/17 - 08:45,Arta-16,3.500,1.750,2998.00,2998.00,0.02998,0.02998,2998.00,2998.00,X,40,1.05,X,320000,102.243,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,315,115,36,41.4,
Arta\Arta-17.199,11/06/17 - 09:55,Arta-17,3.500,2.250,3716.00,3716.00,0.0369,0.0369,3681.00,3681.00,X,19,1.05,X,640000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2277,2266,100,887.8,
Arta\Arta-2.113,01/15/17 - 09:13,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,108,73,68,30.2,
Arta\Arta-2.114,02/26/17 - 15:06,Arta-2,3.500,1.250,2881.00,2881.00,0.01,0.01,2948.00,2948.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,115,79,68,37.6,
