Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1040455237quid (%),Pump Intake Pressure (psi (g)),
East Arta\E-Arta-21.151,01/04/16 - 10:17,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,176,135,35,57.8,
East Arta\E-Arta-21.152,02/01/16 - 09:46,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,139,125,47,53.6,
East Arta\E-Arta-21.153,02/15/16 - 09:16,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,431,333,70,138.4,
East Arta\E-Arta-21.154,02/22/16 - 09:29,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,217,176,61,72.2,
East Arta\E-Arta-21.155,03/07/16 - 09:12,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,6.7,
East Arta\E-Arta-21.156,03/14/16 - 10:05,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,3.8,
East Arta\E-Arta-21.157,03/21/16 - 09:47,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,247,204,69,88.7,
East Arta\E-Arta-21.158,03/28/16 - 08:46,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,252,198,61,91.4,
East Arta\E-Arta-21.159,04/04/16 - 09:12,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,298,213,54,86.9,
East Arta\E-Arta-21.160,04/11/16 - 08:49,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,326,248,64,101.8,
East Arta\E-Arta-21.161,04/18/16 - 08:40,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,347,248,58,102.2,
East Arta\E-Arta-21.162,04/25/16 - 08:23,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,188,154,56,62.8,
East Arta\E-Arta-21.163,05/02/16 - 08:48,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,192,156,55,65.5,
East Arta\E-Arta-21.164,05/16/16 - 09:02,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1432,1235,85,482.5,
East Arta\E-Arta-21.165,05/16/16 - 09:31,E-Arta-21,3.500,2.750,4194.00,4194.00,0.04194,0.04194,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,05/16/16 - 09:31,17026,8944,4734,-27,20.5,171.4,8.867,66.91,114.7,896.5,27.0,1271886.3,31,16995,10806,15848,11334,X,X,X,X,
East Arta\E-Arta-21.166,05/30/16 - 08:52,E-Arta-21,3.500,2.750,4177.00,4177.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,404,404,100,157.9,
East Arta\E-Arta-21.167,06/06/16 - 12:29,E-Arta-21,3.500,2.750,4177.00,4177.00,0.04165,0.04165,4082.00,4082.00,X,20,1.05,X,912000,169.523,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,31,31,100,16.7,
East Arta\E-Arta-21.168,06/10/16 - 09:49,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,833,476,56,193.9,
East Arta\E-Arta-21.169,06/20/16 - 08:40,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,236,169,67,69.7,
East Arta\E-Arta-21.170,06/27/16 - 06:40,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,457,354,76,140.5,
East Arta\E-Arta-21.171,07/04/16 - 08:45,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1400,1400,100,547.8,
East Arta\E-Arta-21.172,07/18/16 - 09:08,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,478,357,73,140.8,
East Arta\E-Arta-21.173,07/25/16 - 10:26,E-Arta-21,3.500,2.750,4148.00,4148.00,0.04165,0.04165,4118.00,4118.00,X,20,1.05,X,X,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,275,202,70,86.2,
