Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-1866484898quid (%),Pump Intake Pressure (psi (g)),
.,01/12/14 - 10:40,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,84,84,100,28.5,
.,01/19/14 - 10:46,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,75,75,100,29.3,
.,02/09/14 - 11:26,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,74,74,100,28.7,
.,02/16/14 - 09:24,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,70,70,100,26.8,
.,02/23/14 - 10:40,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,143,142,89,-1.$,
.,03/09/14 - 11:12,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,59,59,100,-1.$,
.,03/16/14 - 09:23,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,81,81,100,33.1,
.,03/23/14 - 09:18,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,77,77,100,31.2,
.,03/30/14 - 09:39,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,77,77,100,30.1,
.,04/13/14 - 09:33,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,156,152,88,57.8,
.,04/27/14 - 09:58,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,96,96,100,35.7,
.,05/12/14 - 09:53,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,171,166,87,66.3,
.,05/16/14 - 16:40,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,316,295,89,115.7,
.,05/18/14 - 09:30,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,321,301,90,117.4,
.,05/18/14 - 16:19,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,327,327,100,128.1,
.,05/19/14 - 08:38,Arta 1,3.500,1.250,3221.00,3221.00,0.03196,0.03196,3094.00,3094.00,X,19,1.05,X,228000,86.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,325,325,100,126.4,
Arta\Arta-11.009,07/15/14 - 09:01,Arta-11,3.500,1.250,3286.00,3286.00,0.0326,0.0326,3297.00,3297.00,X,19,1.05,X,912000,122.013,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1626,1626,100,637.7,
Arta\Arta-11.010,09/16/14 - 15:22,Arta-11,3.500,1.250,3286.00,3286.00,0.0326,0.0326,3297.00,3297.00,X,19,1.05,X,912000,122.013,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Arta\Arta-11.011,09/17/14 - 08:16,Arta-11,3.500,1.250,3286.00,3286.00,0.0326,0.0326,3297.00,3297.00,X,19,1.05,X,912000,122.013,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1590,1590,100,608.1,
Arta\Arta-12.006,09/15/14 - 08:57,Arta-12,3.500,1.750,2645.00,2645.00,0.05,0.05,2655.00,2655.00,X,40,1.05,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,193,193,100,50.6,
Arta\Arta-13.018,01/12/14 - 10:29,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,748,208,24,82.1,
Arta\Arta-13.019,02/03/14 - 10:43,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,86.920,X,02/03/14 - 10:57,11590,6747,3227,-523,5.9,85.4,8.372,90.79,77.5,383.1,522.8,511038.4,21,11258,7479,7479,6648,618,618,100,241.7,
Arta\Arta-13.020,02/09/14 - 11:38,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,920,920,100,362.4,
Arta\Arta-13.021,02/16/14 - 09:16,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1507,397,25,159.3,
Arta\Arta-13.022,02/23/14 - 10:28,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1302,344,24,120.4,
Arta\Arta-13.023,03/01/14 - 15:57,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,86.867,X,03/01/14 - 15:57,12968,6713,4455,-57,7.7,85.5,8.333,96.85,82.9,125.8,57.0,559549.4,0,10985,7479,10644,2052,X,X,X,X,
Arta\Arta-13.024,03/30/14 - 09:33,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1078,1078,100,424.2,
Arta\Arta-13.025,04/01/14 - 09:35,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,688,364,50,144.3,
Arta\Arta-13.026,04/06/14 - 11:13,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,763,213,24,86.7,
Arta\Arta-13.027,04/13/14 - 09:26,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,916,249,24,98.6,
Arta\Arta-13.028,04/27/14 - 09:48,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,822,232,25,92.4,
Arta\Arta-13.029,05/12/14 - 09:31,Arta-13,3.500,2.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1332,1080,81,424.8,
Arta\Arta-13.030,05/12/14 - 09:40,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,05/12/14 - 09:40,15179,6674,6250,-206,15.6,117.6,8.295,95.23,112.0,169.2,205.9,875564.8,18,8081,7479,3692,2052,X,X,X,X,
Arta\Arta-13.031,06/01/14 - 10:15,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,06/01/14 - 10:15,14379,6768,5577,-231,13.7,116.4,8.295,92.47,107.6,162.7,231.0,822223.5,6,11712,7479,8180,2052,X,X,X,X,
Arta\Arta-13.032,06/03/14 - 13:32,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,578,578,100,225.1,
Arta\Arta-13.033,06/04/14 - 07:56,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,772,238,28,92.2,
Arta\Arta-13.034,06/08/14 - 09:21,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1259,1259,100,496.9,
Arta\Arta-13.035,07/20/14 - 12:00,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1134,1134,100,443.7,
Arta\Arta-13.036,07/20/14 - 13:04,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,07/20/14 - 13:04,14071,6952,5732,-512,13.9,114.0,8.295,89.71,102.3,154.6,511.6,824011.0,6,10975,7479,8497,2052,X,X,X,X,
Arta\Arta-13.037,07/27/14 - 08:39,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,713,581,81,212.6,
Arta\Arta-13.038,08/03/14 - 07:49,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,745,699,93,274.1,
Arta\Arta-13.039,08/10/14 - 08:45,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,627,627,100,246.8,
Arta\Arta-13.040,08/17/14 - 07:49,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,772,259,30,96.0,
Arta\Arta-13.041,08/24/14 - 09:11,Arta-13,3.500,1.250,3675.00,3675.00,0.03112,0.03112,3640.00,3640.00,X,19,1.05,X,320000,120.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1302,1302,100,509.0,
