Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-2062547988quid (%),Pump Intake Pressure (psi (g)),
EPC\100.002,12/26/10 - 10:50,X,3.500,1.750,3618.77,2694.72,0.05,0.05,3766.40,2788.47,X,20,1.05,X,145000,44.000,X,12/26/10 - 11:31,11039,2426,4960,-2469,4.3,38.2,8.780,29.47,11.2,35.3,2468.8,133507.6,0,8146,5209,4032,2767,238,238,100,95.1,
EPC\101.002,01/06/11 - 11:52,X,2.875,1.750,3589.24,2434.12,0.05,0.05,3750.00,2512.06,X,20,1.05,X,228000,78.000,X,01/06/11 - 11:54,8301,3893,3519,-912,2.3,69.2,3.991,87.27,60.4,86.0,912.2,184232.4,0,X,X,X,X,X,X,X,X,
EPC\101.003,01/06/11 - 12:11,X,2.875,1.750,3589.24,2434.12,0.05,0.05,3750.00,2512.06,X,20,1.05,X,228000,78.000,X,01/06/11 - 12:11,8094,3995,3327,-826,2.1,69.3,4.000,90.51,62.7,89.6,826.3,179996.9,0,X,X,X,X,X,X,X,X,
EPC\101.004,01/06/11 - 12:21,X,2.875,1.750,3589.24,2434.12,0.05,0.05,3750.00,2512.06,X,20,1.05,X,228000,78.000,X,01/06/11 - 12:21,8072,3994,3341,-825,2.1,69.2,3.991,90.43,62.6,89.2,825.0,78584.7,0,7414,4712,4112,2486,X,X,X,X,
EPC\102.001,12/31/10 - 15:42,X,3.500,2.250,2936.35,2785.78,0.05,0.05,3309.55,3129.93,X,20,1.05,X,160000,72.000,X,12/31/10 - 15:59,11052,4414,4521,-415,2.3,65.3,5.625,20.22,13.2,43.9,414.8,263598.0,1,9440,5426,5662,4507,238,146,61,61.0,
EPC\103.001,01/01/11 - 09:28,X,3.500,2.250,3625.33,3189.66,0.05,0.05,3844.32,3371.84,X,19,1.05,X,145000,54.000,X,01/01/11 - 10:00,12213,4025,5217,-809,4.5,46.2,6.667,91.89,42.5,167.1,809.2,131844.9,0,11021,6155,5361,5421,1112,980,88,386.3,
EPC\104.004,12/25/10 - 15:44,X,3.500,2.750,2500.00,2259.24,0.05,0.05,3649.93,3184.65,X,20,1.05,X,114000,52.000,X,12/25/10 - 16:26,11156,2040,5390,-951,8.1,45.4,11.250,91.75,41.6,412.9,951.0,152398.0,0,8953,4377,4121,5832,540,452,84,317.8,
EPC\104.005,08/05/11 - 22:18,X,3.500,2.750,2500.00,2259.24,0.05,0.05,3649.93,3184.65,X,20,1.05,X,114000,52.000,X,08/05/11 - 22:52,10852,2234,5182,-762,7.6,45.8,11.111,90.24,41.3,404.6,761.6,144463.7,0,X,X,X,X,580,455,78,312.4,
EPC\104.006,08/05/11 - 22:56,X,3.500,2.750,2500.00,2259.24,0.05,0.05,3649.93,3184.65,X,20,1.05,X,114000,52.000,X,08/05/11 - 22:58,10751,2287,5143,-799,7.6,46.2,11.111,90.65,41.8,409.9,798.7,146324.6,0,8136,4366,4095,5931,X,X,X,X,
EPC\105.003,01/06/11 - 08:04,X,3.500,2.750,3270.47,2553.69,0.05,0.05,4153.54,3148.99,X,20,1.05,X,912000,102.527,X,01/06/11 - 08:58,11319,2138,5122,-1322,9.9,95.5,6.498,96.93,92.6,530.5,1322.3,282693.2,0,9379,4914,5232,6645,1844,553,30,251.1,
EPC\106.003,12/23/10 - 16:04,X,2.875,1.750,5430.25,3407.94,0.05,0.05,5275.59,3322.82,X,20,1.05,X,320000,95.000,X,12/23/10 - 16:23,13699,2241,4972,-1976,9.3,83.3,7.258,73.44,61.2,158.6,1976.5,309646.7,1,11087,6493,6371,3385,X,X,X,X,
EPC\106.004,08/08/11 - 17:48,X,2.875,1.750,5430.25,3407.94,0.05,0.05,5275.59,3322.82,X,20,1.05,X,320000,83.077,X,08/08/11 - 19:04,14393,2174,5373,-2316,8.9,72.9,6.870,83.24,60.7,148.8,2315.6,275947.3,0,10771,6492,5665,3387,79,79,100,33.6,
EPC\107.002,12/27/10 - 12:35,X,3.500,2.750,2624.67,2035.44,0.05,0.05,6233.60,2414.81,X,20,1.05,X,320000,125.000,X,12/27/10 - 13:14,10659,1377,5215,-2049,14.4,118.5,6.272,96.23,114.0,630.7,2049.0,370664.2,0,8142,4555,3653,5314,984,365,37,147.4,
EPC\107.003,08/07/11 - 17:46,X,3.500,2.750,2624.67,2053.01,0.05,0.05,6233.60,3729.81,X,20,1.05,X,320000,125.000,X,08/07/11 - 18:31,11153,962,6052,-2013,15.5,117.6,6.207,97.57,114.8,628.1,2012.7,393619.9,0,X,X,X,X,954,809,85,323.6,
EPC\107.004,08/07/11 - 18:47,X,3.500,2.750,2624.67,2053.01,0.05,0.05,6233.60,3729.81,X,20,1.05,X,320000,125.000,X,08/07/11 - 18:50,10586,1205,5422,-1569,13.8,118.5,6.228,97.39,115.4,634.0,1569.4,355864.0,0,8359,4183,3518,5391,X,X,X,X,
EPC\109.002,12/29/10 - 15:43,X,3.500,2.750,2782.15,2782.15,0.05,0.05,3152.89,3152.89,X,20,1.05,X,320000,54.000,X,12/29/10 - 16:41,12676,3311,6762,-1342,1.8,41.4,6.122,21.98,9.1,49.1,1342.2,113189.1,0,11193,5394,3610,6938,65,65,100,26.8,
EPC\11.002,01/05/11 - 07:57,X,2.875,2.250,3946.85,2679.63,0.05,0.05,4354.66,2912.04,X,22,1.05,X,145000,44.000,X,01/05/11 - 08:46,11746,3138,5794,-1153,3.9,34.2,7.258,86.60,29.6,127.0,1153.5,167077.1,0,10707,5163,4251,4608,947,947,100,364.5,
EPC\112.005,12/28/10 - 15:35,X,3.500,1.750,3198.82,2836.86,0.05,0.05,3292.32,2927.94,X,22,1.05,X,320000,100.000,X,12/28/10 - 16:09,8911,4762,3493,-959,1.6,92.4,6.164,7.15,6.6,14.5,959.1,113231.9,0,X,X,X,X,137,137,100,54.2,
EPC\112.006,12/28/10 - 16:20,X,3.500,1.750,3198.82,2836.86,0.05,0.05,3292.32,2927.94,X,22,1.05,X,228000,40.000,X,12/28/10 - 16:29,8801,4526,3303,-861,0.7,33.5,6.164,100.00,33.5,73.7,860.9,28481.8,0,8504,5478,5247,2903,X,X,X,X,
EPC\113.001,12/27/10 - 16:16,X,3.500,2.250,3011.81,3011.81,0.05,0.05,3102.03,3102.03,X,20,1.05,X,228000,74.000,X,12/27/10 - 16:55,10316,3499,3641,-2123,6.1,66.4,6.452,97.23,64.6,245.9,2122.9,138395.0,0,8754,5799,4310,5276,1250,1250,100,578.4,
EPC\114.001,03/02/10 - 13:07,X,3.500,1.750,4012.47,4012.47,0.05,0.05,4012.47,4012.47,X,22,1.05,X,320000,54.000,X,03/02/10 - 13:33,9692,5814,706,-1460,2.6,54.6,8.036,98.48,53.7,154.2,1459.6,60284.3,0,7680,7833,7563,3856,3624,3624,100,1385.1,
EPC\114.002,12/24/10 - 09:27,X,3.500,1.750,4012.47,4012.47,0.05,0.05,4012.47,4012.47,X,22,1.05,X,320000,54.000,X,12/24/10 - 10:27,10083,5602,778,-1933,2.3,50.0,7.860,99.58,49.8,139.7,1933.4,83197.3,6,7552,7833,6590,3856,3751,3751,100,1451.6,
EPC\115.002,12/30/10 - 10:30,X,3.500,2.250,3937.01,2670.33,0.05,0.05,5123.03,3267.87,X,20,1.05,X,320000,83.000,X,12/30/10 - 10:41,12459,3640,5762,-1548,6.0,71.9,7.660,14.50,10.4,47.1,1548.0,167529.1,1,10223,5201,4666,4316,94,68,72,28.2,
EPC\116.002,12/25/10 - 12:31,X,3.500,2.250,3723.75,2565.35,0.05,0.05,6130.25,3775.92,X,20,1.05,X,228000,74.000,X,12/25/10 - 12:45,10315,2992,5122,-996,5.8,64.1,6.977,75.08,48.1,198.0,995.5,184291.3,0,9279,4933,4295,4366,X,X,X,X,
EPC\117.001,12/22/10 - 15:36,X,3.500,2.250,2775.59,2337.70,0.05,0.05,3699.97,2950.23,X,20,1.05,X,320000,95.000,X,12/22/10 - 16:45,11103,4051,4474,-116,6.0,90.9,8.531,18.52,16.8,84.8,115.8,167383.6,2,8760,4631,5079,3780,X,X,100,114.9,
EPC\117.002,08/07/11 - 19:16,X,3.500,2.250,2775.59,2337.70,0.05,0.05,3699.97,2950.23,X,20,1.05,X,320000,95.000,X,08/07/11 - 20:27,12274,2437,5634,-1414,13.0,91.0,8.451,99.94,90.9,453.6,1414.1,224945.0,0,8786,4619,4703,3848,101,73,72,29.8,
EPC\117.003,02/12/12 - 09:51,X,3.500,2.250,3098.72,2562.79,0.05,0.05,3699.97,2950.23,X,20,1.05,X,320000,95.000,X,02/12/12 - 10:39,12424,2282,4998,-1458,12.3,88.4,8.411,95.77,84.7,420.4,1457.6,254878.7,0,8981,5097,4318,4198,315,290,92,116.9,
EPC\118.002,12/30/10 - 12:01,X,3.500,2.250,3677.82,2980.70,0.05,0.05,4238.85,3275.32,X,20,1.05,X,320000,82.000,X,12/30/10 - 13:00,12248,3903,4568,-627,6.7,73.2,6.691,95.27,69.7,275.3,626.6,198515.2,0,9166,5807,5259,4805,508,507,100,199.0,
EPC\119.003,12/24/10 - 15:54,X,3.500,2.750,3011.81,2946.35,0.05,0.05,3448.16,3338.07,X,19,1.05,X,320000,44.000,X,12/24/10 - 16:39,8803,4881,2576,-475,1.3,39.3,4.592,94.84,37.3,151.0,474.7,50120.8,0,7919,5746,5321,7515,2663,2663,100,1049.2,
EPC\12.001,10/03/10 - 16:09,X,3.500,2.250,3264.44,2058.95,0.05,0.05,4320.37,2458.46,X,22,1.05,X,145000,54.000,X,10/03/10 - 17:03,10309,2668,5811,-1142,5.3,47.2,8.219,17.50,8.3,40.1,1142.4,137943.3,0,9254,3867,2912,3454,914,345,38,161.0,
EPC\12.002,01/03/11 - 10:43,X,3.500,2.250,3779.53,2254.37,0.05,0.05,4320.37,2491.53,X,22,1.05,X,145000,54.000,X,01/03/11 - 11:51,9192,3379,3154,-1763,3.2,48.2,7.407,23.19,11.2,48.9,1763.5,81103.9,0,7889,5245,3973,3847,550,242,44,104.9,
EPC\120.005,12/22/10 - 09:40,X,3.500,1.750,3874.67,2097.98,0.05,0.05,7843.67,3498.79,X,19,1.05,X,320000,68.000,X,12/22/10 - 10:36,9160,2455,3832,-1387,4.0,60.7,6.691,18.65,11.3,27.0,1387.1,124773.6,0,7147,4082,3388,2060,280,79,28,41.1,
EPC\120.007,08/11/11 - 22:43,X,3.500,1.750,3874.67,2097.98,0.05,0.05,7843.67,3498.80,X,19,1.05,X,320000,68.000,X,08/11/11 - 23:12,8352,3171,3641,-1025,2.8,61.0,6.642,8.16,5.0,11.8,1025.5,117806.0,0,7236,4071,3949,2102,X,X,X,X,
EPC\120.009,12/15/12 - 10:16,X,3.500,1.750,3874.67,2097.98,0.05,0.05,7843.67,3498.80,X,19,1.05,X,320000,71.429,X,12/15/12 - 10:57,8070,2275,2692,-1003,3.8,67.0,6.716,67.66,45.3,108.7,1003.2,124217.9,0,5758,4082,3792,2059,543,169,31,84.7,
EPC\13.001,01/03/11 - 15:27,X,2.875,2.250,2342.52,1588.97,0.05,0.05,2342.52,1588.97,X,22,1.05,X,114000,40.000,X,01/03/11 - 16:26,8578,709,5427,-2025,5.1,34.8,9.184,92.52,32.2,174.4,2024.9,141919.1,0,6725,3062,2026,2768,527,490,93,190.0,
EPC\139.003,12/18/12 - 09:01,X,2.875,2.250,3687.66,3687.66,0.04,0.04,3710.00,3710.00,X,20,1.05,X,228000,60.000,X,12/18/12 - 09:49,14212,6107,6950,-400,2.0,45.5,6.406,26.26,11.9,45.2,399.8,107193.0,0,12092,7096,6980,6482,218,202,93,89.1,
EPC\150.002,07/21/10 - 14:57,X,3.500,2.750,1503.00,1503.00,0.05,0.05,2089.00,2089.00,X,24,1.05,X,228000,74.000,X,07/21/10 - 15:34,6661,1733,2586,-82,4.7,72.2,9.091,96.43,69.6,557.9,82.0,96126.3,0,5090,2903,2932,3848,989,989,100,428.6,
EPC\150.003,12/16/12 - 08:00,X,3.500,2.750,1503.00,1503.00,0.05,0.05,2089.00,2089.00,X,24,1.05,X,320000,74.000,X,12/16/12 - 09:10,6805,1762,2650,-136,5.0,72.2,9.091,94.65,68.4,548.2,135.6,94772.1,0,4883,2901,2890,3869,813,813,100,340.2,
EPC\156.001,07/22/10 - 09:59,X,3.500,2.250,1625.00,1625.00,0.05,0.05,1825.00,1825.00,X,24,1.05,X,160000,62.438,X,07/22/10 - 10:41,6698,1659,2171,-586,5.5,60.3,10.909,98.32,59.3,381.7,585.5,88963.0,0,5512,3132,3204,2827,939,939,100,359.6,
EPC\157.002,08/14/11 - 18:32,X,2.875,1.750,1665.00,1661.06,0.05,0.05,1705.00,1700.96,X,20,1.05,X,114000,40.296,X,08/14/11 - 19:48,4466,3058,866,140,0.8,40.2,8.738,90.00,36.2,112.9,140.3,41690.0,0,3969,3226,3955,1656,146,146,100,58.1,
EPC\157.003,12/15/12 - 15:30,X,2.875,1.750,1638.40,1634.54,0.03,0.03,1705.00,1700.96,X,20,1.05,X,114000,40.296,X,12/15/12 - 16:34,5354,2122,1834,-322,0.7,38.6,8.612,24.79,9.6,29.5,321.8,29578.1,0,4916,3164,3088,1669,40,38,95,16.2,
EPC\158.001,02/27/10 - 09:59,X,2.875,1.750,1935.00,1935.00,0.05,0.05,2053.00,2053.00,X,20,1.05,X,114000,54.000,X,02/27/10 - 10:41,7653,2728,2252,-148,1.5,52.5,10.843,11.10,5.8,22.6,148.3,56762.4,0,5761,3743,4050,1985,33,33,100,14.1,
EPC\158.002,07/24/10 - 09:01,X,2.875,1.750,1935.00,1935.00,0.05,0.05,2053.00,2053.00,X,24,1.05,X,114000,64.000,X,07/24/10 - 09:42,6865,2473,2184,-426,1.5,62.0,7.059,28.34,17.6,44.3,425.6,64094.0,0,5652,3762,3794,1915,48,45,93,27.4,
EPC\159.001,07/22/10 - 07:42,X,2.875,2.250,1900.00,1900.00,0.05,0.05,2008.00,2008.00,X,24,1.05,X,114000,54.000,X,07/22/10 - 08:18,8178,1126,2910,-1164,7.0,50.7,12.245,96.73,49.0,354.5,1164.3,222723.3,0,5668,3649,3184,3384,1131,1131,100,431.6,
EPC\161.001,02/14/12 - 09:48,X,2.875,2.250,1574.00,1574.00,0.05,0.05,1570.00,1570.00,X,24,1.05,X,160000,42.000,X,02/14/12 - 10:06,3864,2762,729,-114,0.4,42.1,6.061,100.00,42.1,150.7,113.8,18604.4,0,3559,3070,3101,2514,X,X,X,X,
EPC\162.002,07/22/10 - 11:10,X,3.500,2.750,1315.00,1315.00,0.05,0.05,1992.00,1992.00,X,24,1.05,X,114000,64.000,X,07/22/10 - 11:38,6369,1711,3009,-211,4.0,61.9,8.333,97.61,60.5,444.3,210.8,74547.9,0,5062,2521,2455,3542,573,573,100,220.7,
EPC\163.002,12/17/12 - 12:57,X,2.875,2.250,1675.00,1675.00,0.04,0.04,1795.00,1795.00,X,24,1.05,X,114000,52.148,X,12/17/12 - 13:05,6605,2696,2977,-273,0.6,49.2,5.233,6.67,3.3,10.1,273.4,30475.5,1,6156,3240,3047,2842,29,29,100,12.2,
EPC\166.003,07/25/10 - 07:43,X,3.500,2.250,1553.00,1553.00,0.05,0.05,1662.00,1662.00,X,24,1.05,X,114000,52.148,X,07/25/10 - 08:48,6717,1544,2488,-217,3.4,50.0,11.111,69.39,34.7,227.4,216.5,76075.9,0,5450,3001,3025,2654,54,49,92,84.2,
EPC\17.003,01/06/11 - 16:48,X,3.500,1.750,4757.22,2962.82,0.05,0.05,5041.01,3114.26,X,20,1.05,X,320000,107.234,X,01/06/11 - 17:01,12517,2550,4341,-1965,7.0,99.6,6.250,36.58,36.4,81.3,1965.3,249642.8,0,9162,5777,4904,2998,X,X,X,X,
