Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
9.875,12/26/16 - 16:40,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/26/16 - 16:40,18237,8891,6438,-69,4.8,111.5,5.941,24.48,27.3,95.7,69.3,1113456.1,3,X,X,X,X,X,X,X,X,
9.875,12/27/16 - 11:46,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/27/16 - 11:48,21645,6884,7208,-254,10.5,109.2,5.980,76.70,83.8,295.7,253.9,1264474.5,3,X,X,X,X,X,X,X,X,
9.875,01/05/17 - 18:21,AEB_10,3.500,2.250,4775.00,4775.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/05/17 - 18:21,19291,8956,7209,-71,4.8,109.7,6.000,X,25.2,89.2,70.8,1156354.0,0,X,X,X,X,X,X,X,X,
9.875,01/18/17 - 16:38,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/18/17 - 16:38,16163,8155,3106,-562,6.5,114.2,6.020,95.96,109.6,235.5,561.7,986995.8,6,X,X,X,X,X,X,X,X,
9.875,01/19/17 - 11:50,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/19/17 - 11:50,17669,8061,5130,-495,8.2,104.6,6.000,92.76,97.0,207.9,495.5,1115156.8,0,X,X,X,X,X,X,X,X,
9.875,01/19/17 - 16:24,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,249,47,19,12.6,
9.875,01/19/17 - 16:40,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/19/17 - 16:40,17936,7975,5110,-251,8.3,108.9,5.941,88.41,96.2,204.2,251.1,1134771.1,0,X,X,X,X,X,X,X,X,
9.875,01/22/17 - 10:56,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/22/17 - 10:56,17979,10197,5596,-203,1.9,105.2,6.000,8.66,9.1,19.5,202.7,1141221.3,0,X,X,X,X,X,X,X,X,
9.875,01/22/17 - 11:01,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/22/17 - 11:03,18559,8430,5611,-295,6.1,105.4,5.980,56.18,59.2,126.5,294.9,1175607.1,4,X,X,X,X,X,X,X,X,
9.875,01/23/17 - 08:25,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/23/17 - 08:29,18319,8326,5458,-383,5.2,103.0,5.980,50.90,52.4,111.9,382.9,1162855.6,2,X,X,X,X,X,X,X,X,
9.875,01/28/17 - 08:08,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/28/17 - 08:08,17841,10089,5625,-405,1.5,103.3,6.000,8.49,8.8,18.8,405.2,1131505.1,0,X,X,X,X,X,X,X,X,
9.875,01/29/17 - 14:59,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/29/17 - 14:59,18297,8083,5709,-586,4.8,102.6,5.960,43.89,45.0,95.8,585.8,1160897.2,6,X,X,X,X,X,X,X,X,
9.875,02/14/17 - 16:55,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/14/17 - 16:55,18510,8439,5769,-569,4.3,103.3,5.960,37.47,38.7,82.4,569.0,1174100.4,2,X,X,X,X,X,X,X,X,
9.875,02/16/17 - 09:28,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/16/17 - 09:30,18260,9856,5388,-403,1.6,103.9,6.020,7.63,7.9,17.0,403.4,1156532.3,0,X,X,X,X,X,X,X,X,
9.875,02/16/17 - 16:21,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/16/17 - 16:22,18552,8171,5520,-156,9.2,105.3,6.000,93.82,98.8,211.7,156.2,1171571.6,0,X,X,X,X,X,X,X,X,
9.875,02/17/17 - 09:16,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/17/17 - 09:16,18310,8476,5448,-660,4.3,103.3,5.980,38.09,39.3,84.0,660.1,1162263.6,6,X,X,X,X,X,X,X,X,
9.875,02/17/17 - 15:14,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/17/17 - 15:14,16476,8621,3957,-2185,1.5,103.6,5.960,9.80,10.2,21.6,2184.6,1045080.5,1,X,X,X,X,X,X,X,X,
9.875,02/20/17 - 16:56,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/20/17 - 16:56,19292,8634,6269,-556,4.8,100.1,5.980,35.88,35.9,76.7,556.0,1223656.1,4,X,X,X,X,X,X,X,X,
9.875,02/21/17 - 09:34,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,02/21/17 - 09:34,18272,8424,5643,-1307,4.2,100.4,5.980,36.20,36.3,77.6,1307.4,1159910.8,7,X,X,X,X,X,X,X,X,
9.875,05/11/17 - 15:29,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,05/11/17 - 15:29,18233,8956,5403,-501,3.7,109.1,5.941,27.65,30.2,64.0,501.1,1155991.5,0,X,X,X,X,X,X,X,X,
9.875,05/28/17 - 09:17,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,05/28/17 - 09:17,16646,8929,3906,-1577,1.9,105.9,5.980,8.47,9.0,19.2,1577.1,1054711.3,0,X,X,X,X,X,X,X,X,
9.875,05/28/17 - 11:42,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,3.3,
9.875,05/28/17 - 17:07,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,97,72,74,28.2,
9.875,05/28/17 - 17:16,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,05/28/17 - 17:16,19437,8275,6751,-156,10.1,103.6,5.921,88.57,91.7,193.9,155.9,1233081.0,4,X,X,X,X,X,X,X,X,
9.875,05/29/17 - 14:16,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,05/29/17 - 14:16,16307,9102,3949,-1520,1.3,104.9,6.000,7.15,7.5,16.1,1519.6,1032998.0,0,X,X,X,X,X,X,X,X,
9.875,07/17/17 - 08:55,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,07/17/17 - 08:55,17602,9943,4998,-463,1.9,106.0,5.960,9.04,9.6,20.4,463.0,1114359.3,0,X,X,X,X,X,X,X,X,
9.875,07/17/17 - 17:33,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,07/17/17 - 17:33,15440,8947,3246,-1547,1.2,108.9,5.960,8.05,8.8,18.7,1547.2,978037.7,0,X,X,X,X,X,X,X,X,
9.875,07/25/17 - 11:20,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,07/25/17 - 11:20,17114,9662,4922,-283,1.7,109.8,5.960,17.50,19.2,40.9,283.3,1085665.4,1,X,X,X,X,X,X,X,X,
9.875,07/25/17 - 16:44,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,07/25/17 - 16:46,17302,8410,4702,-345,7.6,107.3,5.921,90.67,97.3,205.8,344.7,1093585.9,2,X,X,X,X,X,X,X,X,
9.875,10/17/17 - 11:19,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,10/17/17 - 11:19,18772,8845,5905,-542,3.3,105.3,5.941,27.56,29.0,61.6,542.4,1190891.6,3,X,X,X,X,X,X,X,X,
9.875,10/17/17 - 11:30,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3,3,100,4.9,
9.875,10/18/17 - 08:50,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,10/18/17 - 08:50,18901,8905,6187,-478,3.2,105.8,5.960,23.21,24.6,52.3,477.8,1199092.2,6,X,X,X,X,X,X,X,X,
9.875,10/31/17 - 10:02,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,10/31/17 - 10:02,18648,9694,6156,-654,1.6,99.8,5.960,8.41,8.4,17.9,654.0,1176951.2,3,X,X,X,X,X,X,X,X,
9.875,12/09/17 - 09:53,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,12/09/17 - 09:53,18332,9934,5491,-396,1.6,103.2,5.902,6.43,6.6,14.0,396.1,1160458.4,0,X,X,X,X,X,X,X,X,
9.875,01/27/18 - 15:09,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,01/27/18 - 15:09,19212,9490,6315,-924,2.1,99.0,6.020,7.60,7.5,16.2,923.7,1215888.1,4,X,X,X,X,X,X,X,X,
9.875,06/29/18 - 15:44,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,06/29/18 - 15:44,16426,8019,2811,-353,7.8,119.1,7.407,96.71,115.2,304.6,353.3,988954.9,0,X,X,X,X,X,X,X,X,
9.875,06/30/18 - 11:53,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,164,120,74,44.9,
9.875,06/30/18 - 12:01,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,06/30/18 - 12:01,17967,9603,4823,-1293,4.2,113.8,7.438,16.89,19.2,51.1,1293.0,1139930.3,0,X,X,X,X,X,X,X,X,
9.875,07/01/18 - 18:03,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2281,1789,78,690.1,
9.875,07/03/18 - 10:23,AEB_10,2.875,1.750,6070.00,6070.00,0.04475,0.04475,10929.00,10929.00,X,40,1.05,X,640000,125.106,X,07/03/18 - 10:23,16565,10566,4278,-452,4.0,119.1,7.407,15.99,19.0,50.4,451.5,1049006.6,5,X,X,X,X,X,X,X,X,
9.625,05/10/14 - 11:18,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,9000.00,9000.00,X,40,1.05,X,640000,107.234,X,05/10/14 - 11:51,15154,6425,5016,-90,9.1,104.6,8.372,63.98,66.9,330.8,89.8,770457.6,6,X,X,X,X,X,X,X,X,
9.625,05/10/14 - 18:53,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,9000.00,9000.00,X,40,1.05,X,640000,107.234,X,05/10/14 - 18:53,16936,6503,6143,-7,12.8,104.4,8.612,81.10,84.7,430.5,6.7,816996.9,6,X,X,X,X,X,X,X,X,
9.625,05/11/14 - 09:29,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,9000.00,9000.00,X,40,1.05,X,640000,107.234,X,05/11/14 - 09:29,15859,6785,4898,-34,10.7,103.9,8.571,78.62,81.7,413.2,34.3,750616.3,6,X,X,X,X,X,X,X,X,
9.625,05/12/14 - 10:32,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,107.234,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,368,368,100,113.7,
9.625,05/12/14 - 16:18,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,107.234,X,05/12/14 - 16:41,15915,6242,6314,-75,11.7,101.6,8.531,67.12,68.2,343.3,74.9,811264.4,3,X,X,X,X,806,806,100,264.8,
9.625,05/13/14 - 10:02,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,107.234,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1118,1118,100,371.5,
9.625,05/13/14 - 10:17,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,107.234,X,05/13/14 - 10:17,14483,6305,4001,-22,8.6,105.2,8.491,77.36,81.4,408.0,21.9,673086.4,6,X,X,X,X,X,X,X,X,
9.625,05/13/14 - 17:10,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,107.234,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1133,1133,100,376.5,
9.625,05/14/14 - 14:10,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,107.234,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1288,1288,100,447.9,
9.625,05/17/14 - 18:00,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,77.370,X,05/17/14 - 18:00,10438,6444,2489,-658,2.0,75.1,7.115,95.03,71.3,299.6,657.7,432866.7,5,X,X,X,X,X,X,X,X,
9.625,05/18/14 - 17:21,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,77.370,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1055,1055,100,359.5,
9.625,05/23/14 - 09:54,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,77.370,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1020,1020,100,345.3,
9.625,06/08/14 - 14:54,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,77.370,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19,5.4,
9.625,06/16/14 - 10:32,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,77.370,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,180,34,19,16.7,
9.625,06/16/14 - 10:49,AEB_4,3.500,2.250,3500.00,3500.00,0.035,0.035,10932.00,10932.00,X,40,1.05,X,640000,77.370,X,06/16/14 - 10:55,15964,5116,5785,-223,7.1,76.2,8.333,77.76,59.3,291.5,222.9,610737.0,4,X,X,X,X,X,X,X,X,
