Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
AG 11,08/13/14 - 06:44,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1025,994,97,381.6,
AG 11,08/13/14 - 06:55,AG 11,3.500,X,5250.00,5250.00,0.05,0.05,5250.00,5250.00,X,15,1.03,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1046,1046,100,426.8,
AG 12,09/23/11 - 17:17,AG 12,3.500,2.250,1925.00,1925.00,0.01925,0.01925,1925.00,1925.00,X,30,1.03,X,912000,124.996,62,09/23/11 - 17:31,8240,2957,2457,-385,5.3,122.9,6.186,99.55,122.4,446.9,384.9,173155.3,84,6339,4822,4912,3483,X,X,X,X,
AG 10,09/26/11 - 07:27,AG 10,3.500,2.250,1925.00,1925.00,0.01925,0.01925,1925.00,1925.00,X,30,1.03,X,912000,124.996,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,770,770,100,276.1,
AG 10,09/29/12 - 07:40,AG 10,3.500,1.750,5625.00,5625.00,0.01925,0.01925,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,09/29/12 - 08:48,14726,10073,1567,44,3.1,129.4,6.143,98.27,127.1,278.9,43.9,426783.7,42,X,X,X,X,5435,5435,100,1914.4,
AG 12,09/29/12 - 15:38,AG 12,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,09/29/12 - 15:45,15387,10461,2273,-65,3.2,134.1,6.143,100.00,134.1,294.3,64.6,273733.2,30,17658,12324,15507,6156,X,X,X,X,
AG 10,01/03/13 - 09:31,AG 10,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2868,2868,100,1013.8,
AG 10,01/03/13 - 09:49,AG 10,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,5613,5613,100,14265.0,
AG 12,01/03/13 - 10:02,AG 12,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,01/03/13 - 10:25,14928,9647,1782,-717,3.8,129.0,6.102,98.41,126.9,276.6,717.0,272723.8,60,13047,12324,12830,6156,5455,5455,100,1930.2,
AG 12,04/19/13 - 11:27,AG 12,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,04/19/13 - 15:35,15079,8257,1502,-1836,5.0,128.2,6.061,98.54,126.4,273.5,1836.0,245137.3,49,12753,12324,12317,6156,5461,5461,100,1935.0,
AG 12,08/28/13 - 08:24,AG 12,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,08/28/13 - 08:43,15541,8543,1940,-1212,5.4,127.5,6.020,99.69,127.1,273.1,1212.1,260946.0,54,13287,12324,12769,6156,5423,5423,100,1915.4,
AG 12,08/30/13 - 15:16,AG 12,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,08/30/13 - 15:37,15160,8345,1767,-1655,5.4,127.1,6.040,98.64,125.4,270.4,1654.9,258178.4,53,13152,12324,12107,6156,5424,5424,100,1913.3,
AG 12,12/26/13 - 11:25,AG 12,3.500,1.750,5625.00,5625.00,0.005,0.005,5625.00,5625.00,X,30,1.03,X,912000,127.926,62,12/26/13 - 11:56,15135,8091,1694,-1735,5.4,127.2,6.040,98.67,125.5,270.7,1734.8,251063.8,50,13202,12324,11852,6156,5389,5389,100,1862.2,
AG4-19,05/07/12 - 08:12,AG 4-19,3.500,1.750,6550.00,6550.00,0.25775,0.25775,6550.00,6550.00,X,40,1.05,X,640000,111.851,X,05/07/12 - 08:26,22508,6029,5146,-4751,13.9,83.3,5.357,79.01,65.8,125.9,4751.0,494860.4,35,19501,14759,11159,7168,1014,1014,100,344.5,
AG4-19,07/17/12 - 18:12,AG 4-19,3.500,1.750,6550.00,6550.00,0.05775,0.05775,6550.00,6550.00,X,40,1.05,X,640000,111.851,62,07/17/12 - 18:32,23812,6811,7944,-6219,13.9,93.2,5.310,60.76,56.6,107.3,6219.3,533585.5,35,19691,14759,11724,7168,1013,1013,100,342.9,
AGHAR FIELD\AG 4- 19.003,09/29/12 - 10:03,AG 4-19,3.500,1.750,5660.00,5660.00,0.05775,0.05775,5660.00,5660.00,X,40,1.05,X,640000,111.851,62,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,99,99,100,35.4,
