Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-685014685quid (%),Pump Intake Pressure (psi (g)),
EPC\1.010,02/14/15 - 10:38,X,3.500,1.500,9307.00,9307.00,0.05,0.05,11024.00,11024.00,X,37,1.05,X,912000,144.000,100,02/14/15 - 11:18,20537,14140,-110,-1247,4.3,149.3,6.102,98.50,147.1,235.4,1247.4,374331.5,0,17703,18734,18333,6176,2371,2307,97,787.1,
EPC\101.006,01/24/15 - 15:35,X,2.875,1.750,3589.24,2434.12,0.05,0.05,3750.00,2512.06,X,20,1.05,X,160000,72.973,40,01/24/15 - 16:12,10691,1843,4682,-2372,8.2,65.8,8.333,52.34,34.4,102.4,2372.1,235131.1,0,7824,4700,4098,2530,247,142,57,57.6,
EPC\101.008,11/18/16 - 15:35,X,2.875,1.750,3589.24,2434.12,0.05,0.05,3750.00,2512.06,X,20,1.05,X,228000,72.000,30,11/18/16 - 16:21,12277,3417,7146,-1034,5.5,60.8,5.233,95.39,58.0,108.3,1034.1,190615.7,0,9494,4682,3657,2597,X,X,X,X,
EPC\102.002,01/25/15 - 11:37,X,3.500,2.250,2936.35,2785.78,0.05,0.05,3309.55,3129.93,X,20,1.05,X,160000,72.000,40,01/25/15 - 12:36,11382,3598,5218,-744,2.6,64.5,4.891,36.83,23.7,68.5,743.7,175431.2,0,9752,5421,5217,4541,177,118,67,49.4,
EPC\102.003,03/10/16 - 08:16,X,3.500,2.250,2936.35,2785.78,0.05,0.05,3309.55,3129.93,X,20,1.05,X,160000,70.000,40,03/10/16 - 08:58,11114,4239,5142,-475,2.1,62.1,4.945,30.55,19.0,55.4,474.9,143337.2,3,9951,5421,5535,4541,124,84,68,36.0,
EPC\103.002,01/25/15 - 10:34,X,3.500,2.250,3533.46,3113.24,0.0353346,0.0353346,3844.32,3371.84,X,19,1.05,X,145000,54.000,25,01/25/15 - 11:10,12774,3913,5630,-1140,5.1,45.3,7.087,90.98,41.2,172.5,1139.7,178650.6,0,10588,6000,6212,5357,1114,760,68,301.1,
EPC\104.009,01/24/15 - 09:01,X,3.500,2.750,2949.48,2620.96,0.01,0.01,3649.93,3184.65,X,19,1.05,X,114000,52.000,25,01/24/15 - 09:57,13872,4319,8157,-23,5.6,43.6,7.004,94.34,41.1,253.7,22.9,167191.3,0,10602,5090,5090,6804,1273,1168,92,461.6,
EPC\104.010,05/29/15 - 16:24,X,3.500,2.750,2949.48,2620.96,0.05,0.05,3649.93,3184.65,X,19,1.15,X,320000,123.000,50,05/29/15 - 16:54,12049,3228,5353,-1221,11.3,123.3,6.383,52.50,64.7,364.4,1221.0,458634.0,0,9178,5038,7266,7270,1241,1241,100,489.8,
EPC\104.011,03/07/16 - 11:26,X,3.500,2.750,3143.04,2776.73,0.0314304,0.0314304,3649.93,3184.65,X,19,1.15,X,320000,123.000,50,03/07/16 - 12:16,15061,3337,7835,-1362,14.3,125.7,6.406,75.00,94.3,532.7,1362.0,412330.9,0,8298,5358,5358,7567,1511,494,33,209.0,
EPC\104.012,11/18/16 - 10:25,X,3.500,2.750,2624.67,2359.57,0.0314304,0.0314304,3649.93,3184.65,X,19,1.15,X,320000,123.000,50,11/18/16 - 10:59,14749,3187,8889,-314,16.2,122.3,6.360,82.50,100.9,565.7,313.6,374742.3,0,8986,4533,4533,6476,X,X,X,X,
