Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-876888990quid (%),Pump Intake Pressure (psi (g)),
H E-1X,08/15/18 - 09:15,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,170,170,100,67.8,
H E-1X,08/16/18 - 09:45,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3476,3476,100,1559.0,
H E-1X,08/16/18 - 09:55,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2909,2857,98,1100.8,
H E-1X,08/17/18 - 10:18,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,162,162,100,320.7,
H E-1X,08/17/18 - 14:58,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,399.5,
H E-1X,08/18/18 - 09:39,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,639,639,100,249.1,
H E-1X,08/24/18 - 15:13,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,347.6,
H E-1X,08/27/18 - 15:13,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,884,884,100,344.7,
H E-1X,08/30/18 - 15:44,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1166,709,59,277.1,
H E-1X,08/31/18 - 11:55,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1186,692,56,273.4,
H E-1X,08/31/18 - 12:08,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,08/31/18 - 12:08,21597,10690,6174,-2612,5.8,86.4,4.700,3.86,3.3,13.8,2612.0,324516.3,2,21847,13100,17002,12494,X,X,X,X,
H E-1X,09/06/18 - 09:03,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1015,814,79,317.8,
H E-1X,09/08/18 - 15:23,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,912,912,100,355.3,
H E-1X,09/09/18 - 10:59,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,958,718,73,280.7,
H E-1X,09/12/18 - 10:08,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1057,708,65,276.7,
H E-1X,09/19/18 - 08:18,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,955,741,76,289.6,
H E-1X,10/09/18 - 10:04,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,937,716,75,279.9,
H E-1X,10/16/18 - 08:54,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,899,702,76,274.1,
H E-1X,10/23/18 - 08:41,H E-1X,3.500,2.750,5157.00,5157.00,0.050785,0.050785,5098.43,5098.43,X,20,1.15,X,912000,103.660,75,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,100,2.4,
