Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 216223759quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-10.020,02/02/13 - 08:25,Hana-10,3.500,1.750,4916.00,4916.00,0.04709,0.04709,4804.00,4804.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1408,1408,100,530.2,
Hana\Hana-10.021,02/06/13 - 10:32,Hana-10,3.500,1.750,4916.00,4916.00,0.04709,0.04709,4804.00,4804.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1417,1417,100,533.7,
Hana\Hana-10.022,02/09/13 - 09:46,Hana-10,3.500,1.750,4916.00,4916.00,0.04709,0.04709,4804.00,4804.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1485,1485,100,559.3,
Hana\Hana-10.023,02/13/13 - 09:27,Hana-10,3.500,1.750,4916.00,4916.00,0.04709,0.04709,4804.00,4804.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1625,1625,100,610.4,
Hana\Hana-10.024,02/16/13 - 08:46,Hana-10,3.500,1.750,4916.00,4916.00,0.04709,0.04709,4804.00,4804.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1579,1574,100,591.8,
Hana\Hana-10.025,02/20/13 - 10:16,Hana-10,3.500,1.750,4916.00,4916.00,0.04709,0.04709,4804.00,4804.00,X,25,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1684,1684,100,632.5,
Hana\Hana-10.026,02/27/13 - 08:13,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,02/27/13 - 08:25,17155,6402,4166,-362,12.5,140.9,7.171,98.44,138.7,355.3,361.9,1161126.1,0,12175,9657,10325,5358,1750,1750,100,646.7,
Hana\Hana-10.027,03/02/13 - 07:33,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1682,1646,98,608.1,
Hana\Hana-10.028,03/06/13 - 08:22,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1761,1761,100,649.7,
Hana\Hana-10.029,03/09/13 - 08:43,Hana-10,3.500,1.750,4896.00,4896.00,0.04709,0.04709,4804.00,4804.00,X,27,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1452,1284,88,476.4,
