Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Hana-West\Hana-18.268,11/01/18 - 10:34,Hana-18,3.500,2.250,4842.00,4842.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,352,315,78,121.7,
Hana-West\Hana-18.269,11/11/18 - 10:55,Hana-18,3.500,2.250,4842.00,4842.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,123.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,370,338,83,130.2,
Hana-West\Hana-18.270,11/15/18 - 11:03,Hana-18,3.500,2.250,4842.00,4842.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,X,123.000,X,11/15/18 - 11:11,25587,14386,7922,-182,7.7,110.7,3.689,86.92,96.2,209.5,181.6,X,0,21902,16077,9764,8760,369,280,52,108.1,
Hana-West\Hana-W-10 new.161,01/07/18 - 08:48,Hana-W-10 new,3.500,3.750,3480.00,3480.00,0.05008,0.05008,6195.00,6195.00,X,25,1.05,X,X,144.000,X,01/07/18 - 08:58,12497,7295,2007,-863,3.9,149.1,5.521,100.00,149.1,1349.5,862.8,X,0,7351,9252,7713,17488,2466,2466,100,929.0,
Hana-West\Hana-W-10 new.162,01/07/18 - 09:16,Hana-W-10 new,3.500,3.750,3480.00,3480.00,0.05008,0.05008,6195.00,6195.00,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18163,9252,11494,17488,X,X,X,X,
Hana-West\Hana-W-10 new.163,01/08/18 - 16:41,Hana-W-10 new,3.500,3.750,3480.00,3480.00,0.05008,0.05008,6195.00,6195.00,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2278,2278,100,860.1,
Hana-West\Hana-W-10 new.164,01/12/18 - 10:25,Hana-W-10 new,3.500,3.750,3480.00,3480.00,0.05008,0.05008,6195.00,6195.00,X,25,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2216,2216,100,838.0,
Hana-West\Hana-W-10 new.165,01/20/18 - 09:33,Hana-W-10 new,3.500,3.750,3480.00,3480.00,0.05008,0.05008,6195.00,6195.00,X,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2166,2166,100,824.5,
Hana-West\Hana-W-10 new.166,01/27/18 - 09:19,Hana-W-10 new,3.500,3.750,3480.00,3480.00,0.05008,0.05008,6195.00,6195.00,X,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2083,2083,100,793.3,
Hana-West\Hana-W-10 new.167,02/17/18 - 15:11,Hana-W-10 new,3.500,3.750,3504.00,3504.00,0.05008,0.05008,6195.00,6195.00,140.0,23.8,1.05,X,X,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2019,2019,100,769.7,
