Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-797585780quid (%),Pump Intake Pressure (psi (g)),
Hana\Hana-11.249,01/07/17 - 11:36,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,595,595,100,220.4,
Hana\Hana-11.250,01/14/17 - 09:19,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,609,609,100,231.2,
Hana\Hana-11.251,01/21/17 - 08:22,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,615,615,100,233.3,
Hana\Hana-11.252,01/28/17 - 14:35,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,552,499,90,189.9,
Hana\Hana-11.253,02/04/17 - 09:06,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,563,561,100,207.3,
Hana\Hana-11.254,02/18/17 - 16:56,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,554,554,100,210.8,
Hana\Hana-11.255,03/11/17 - 10:33,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,530,491,93,186.7,
Hana\Hana-11.256,03/25/17 - 11:31,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,536,536,100,204.0,
Hana\Hana-11.257,04/03/17 - 10:35,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,592,576,97,218.1,
Hana\Hana-11.258,04/08/17 - 08:40,Hana-11,3.500,2.250,4877.00,4877.00,0.05051,0.05051,4935.00,4935.00,X,24.9,1.05,X,912000,144.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,552,552,100,209.3,
