Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-685014685quid (%),Pump Intake Pressure (psi (g)),
EPC\1.002,04/07/14 - 17:41,X,3.500,1.500,9306.00,9306.00,0.03,0.03,11024.00,11024.00,X,40.5,1.05,X,912000,144.000,100,04/07/14 - 18:08,28067,15394,6306,-130,11.5,118.3,6.228,88.08,104.2,170.2,129.8,500484.5,0,23646,18850,18455,5867,X,X,X,X,
EPC\1.003,04/25/14 - 10:05,X,3.500,1.500,9307.00,9307.00,0.05,0.05,11024.00,11024.00,X,40.5,1.05,X,912000,144.000,100,04/25/14 - 11:22,27832,16149,6687,-671,11.2,119.2,6.207,58.35,69.5,113.2,671.1,555597.6,0,25205,18768,18768,6085,631,631,100,220.1,
EPC\1.004,05/08/14 - 09:16,X,3.500,1.500,9307.00,9307.00,0.05,0.05,11024.00,11024.00,X,40.5,1.05,X,912000,144.000,100,05/08/14 - 11:18,28931,16140,7118,-836,11.9,118.5,6.207,59.97,71.0,115.7,835.6,569683.9,0,25236,18774,18774,6069,567,554,98,194.6,
EPC\1.006,06/16/14 - 13:36,X,3.500,1.500,9307.00,9307.00,0.05,0.05,11024.00,11024.00,X,40.5,1.05,X,912000,144.000,100,06/16/14 - 14:57,27454,14595,6264,-429,9.7,116.2,5.941,75.76,88.0,137.1,428.5,496579.0,0,22777,18774,18970,6068,727,727,100,253.5,
EPC\1.007,07/11/14 - 16:11,X,3.500,1.500,9307.00,9307.00,0.1,0.1,11024.00,11024.00,X,37,1.05,X,912000,144.000,100,07/11/14 - 16:46,27835,14257,6151,-1123,12.0,108.5,6.102,84.65,91.8,147.0,1122.6,540738.9,0,23533,18737,17093,6167,858,858,100,305.0,
EPC\100.001,10/18/14 - 08:06,X,3.500,1.750,3618.77,2694.77,0.03,0.03,3766.40,2788.74,X,21,1.05,X,144000,44.000,30,10/18/14 - 09:11,11119,3150,4908,-1760,3.2,38.4,8.257,17.38,6.7,19.7,1760.3,116170.7,0,9214,5200,5264,2776,126,126,100,50.3,
EPC\104.008,09/18/13 - 16:06,X,3.500,2.750,2500.00,2259.24,0.05,0.05,3649.93,3184.65,X,19,1.05,X,114000,52.000,X,09/18/13 - 16:11,11789,1686,5851,-1138,8.6,44.6,11.250,89.43,39.8,395.3,1137.8,164248.6,0,9615,4372,3677,5878,X,X,X,X,
EPC\107.005,10/19/14 - 07:59,X,3.500,2.750,2624.67,2077.80,0.05,0.05,6263.12,3786.05,X,20,1.05,X,320000,106.000,50,10/19/14 - 08:59,10324,1988,4497,-1008,8.4,100.4,6.294,95.47,95.8,531.7,1007.6,313476.4,0,7842,4461,3674,5456,1033,633,61,251.3,
EPC\112.007,10/19/14 - 14:52,X,3.500,2.250,3169.29,2808.09,0.03,0.03,3257.87,2894.38,X,22,1.05,X,320000,80.000,40,10/19/14 - 15:47,14005,3577,8176,-933,5.4,67.1,4.369,64.41,43.2,111.5,933.1,268075.5,0,12739,5454,4647,4753,472,328,70,127.1,
EPC\112.008,10/22/14 - 14:41,X,3.500,2.250,3169.29,2808.09,0.03,0.03,3257.87,2894.38,X,22,1.05,X,320000,80.000,40,10/22/14 - 15:55,14893,3332,8744,-1048,5.4,66.5,4.369,57.27,38.1,98.3,1048.2,262613.8,1,10439,5454,5584,4753,368,261,71,100.8,
EPC\113.002,09/08/13 - 16:01,X,3.500,2.250,2677.17,2677.17,0.05,0.05,3102.03,3102.03,X,19,1.05,X,228000,74.000,X,09/08/13 - 16:12,12882,4495,6688,-276,7.0,64.1,6.383,96.97,62.1,234.1,276.3,176287.8,0,11242,5165,5770,4627,705,705,100,277.2,
EPC\121.001,10/18/14 - 15:50,X,3.500,2.750,4522.64,3909.44,0.04,0.04,4737.53,4072.52,X,15.4,1.05,X,456000,110.000,55,10/18/14 - 16:48,19059,4526,10826,-1600,13.6,85.1,5.643,91.74,78.1,388.6,1599.8,705195.3,0,16546,7501,6851,9946,1214,1112,92,451.9,
EPC\15.003,10/20/14 - 09:11,X,2.875,1.750,3658.14,2265.93,0.03,0.03,5119.75,3007.30,X,20,1.05,X,145000,34.000,40,10/20/14 - 10:26,11442,3950,6173,-6,3.3,26.5,11.043,48.00,12.7,50.2,5.8,55408.9,5,9536,4333,4835,2308,107,84,78,34.5,
EPC\157.004,09/12/13 - 08:18,X,2.875,1.750,1665.00,1661.06,0.05,0.05,1705.00,1700.96,X,22.8,1.05,X,114000,40.000,X,09/12/13 - 09:13,6071,2098,2677,-1106,1.3,38.7,5.788,97.50,37.7,78.0,1105.7,36393.8,0,4189,3220,1689,1678,325,325,100,125.5,
EPC\162.003,09/13/13 - 09:31,X,3.500,2.750,1315.00,1315.00,0.05,0.05,1992.00,1992.00,X,22.8,1.05,X,114000,64.000,X,09/13/13 - 10:08,5741,1342,3241,-1197,3.7,60.5,6.977,95.69,57.8,355.9,1197.4,66001.9,0,5519,2525,4187,3507,558,558,100,216.3,
EPC\165.001,10/21/14 - 09:58,X,2.875,2.250,1765.00,1765.00,0.05,0.05,6676.51,6676.51,X,22,1.05,X,114000,52.148,30,10/21/14 - 10:36,6438,2528,2338,-272,2.2,49.9,6.977,97.75,48.8,201.0,271.9,52030.4,0,5416,3388,3242,3156,887,887,100,348.5,
EPC\169.004,09/16/13 - 09:39,X,3.500,2.750,1501.00,1501.00,0.05,0.05,1672.00,1672.00,X,22.8,1.05,X,145000,54.000,X,09/16/13 - 10:05,7007,2031,3464,-208,2.9,51.1,6.383,97.65,49.9,280.7,207.8,87687.6,0,5820,2894,2812,3894,1477,1477,100,569.2,
EPC\170.004,09/13/13 - 16:32,X,2.875,2.250,1800.00,1800.00,0.018,0.018,2111.00,2111.00,X,22.8,1.05,X,114000,64.000,X,09/13/13 - 16:42,7538,2443,2845,-443,4.3,61.7,11.613,53.35,32.9,225.6,443.0,109770.1,0,5780,3471,3240,3118,X,X,X,X,
EPC\171.001,10/21/14 - 07:59,X,2.875,1.750,1755.00,1755.00,0.01,0.01,1625.00,1625.00,X,22,1.05,X,228000,54.000,X,10/21/14 - 08:42,6148,1895,2056,-639,1.3,51.8,7.229,42.90,22.2,57.3,638.8,74602.0,0,5328,3385,2951,1839,16,16,100,10.7,
EPC\174.004,09/11/13 - 10:57,X,2.875,2.250,1583.00,1547.32,0.01,0.01,1763.25,1719.88,X,22.8,1.05,X,114000,40.000,X,09/11/13 - 11:42,3930,2774,828,-163,0.2,40.8,5.028,100.00,40.8,121.1,163.4,19013.0,0,4176,3017,3534,2669,X,X,X,X,
EPC\176.001,09/13/13 - 07:59,X,2.375,1.750,1869.00,1869.00,0.05,0.05,2046.00,2046.00,X,22.8,1.05,X,114000,52.000,X,09/13/13 - 08:36,4690,1129,2285,-208,1.5,47.3,8.219,41.12,19.5,57.1,208.2,60209.0,1,4090,1833,1827,1979,74,74,100,51.0,
EPC\177.002,09/12/13 - 09:31,X,2.375,1.750,1794.00,1794.00,0.04,0.04,2062.50,2062.50,X,22.8,1.05,X,145000,34.000,X,09/12/13 - 10:18,4163,1052,2105,-455,1.5,31.2,7.725,99.92,31.2,86.0,455.3,31093.6,0,3383,1761,1457,1885,383,383,100,148.6,
EPC\181.003,09/10/13 - 16:06,X,2.375,1.750,1566.00,1566.00,0.05,0.05,1632.00,1632.00,X,22.8,1.05,X,114000,64.000,X,09/10/13 - 16:14,3180,1329,1275,37,1.1,62.3,7.469,41.31,25.8,68.7,37.2,32209.2,0,2664,1537,1688,1652,623,623,100,288.2,
EPC\186.004,09/10/13 - 11:06,X,3.500,2.750,2029.00,2029.00,0.05,0.05,2275.00,2275.00,X,22.8,1.05,X,160000,64.000,X,09/10/13 - 11:56,10679,2824,6059,-384,2.1,56.7,5.921,24.32,13.8,72.0,384.2,123128.2,0,9476,3913,3692,5252,39,38,97,15.9,
EPC\191.003,09/11/13 - 08:07,X,3.500,2.250,1688.00,1688.00,0.05,0.05,1722.50,1722.50,X,22.8,1.05,X,114000,40.000,X,09/11/13 - 08:31,6620,2214,2722,-238,1.8,37.4,8.738,63.61,23.8,122.7,238.0,55617.9,0,5763,3268,3488,2849,122,66,54,77.4,
EPC\197.001,09/11/13 - 15:42,X,2.875,2.250,1940.00,1659.77,0.05,0.05,1992.00,1700.99,X,22.8,1.05,X,145000,44.000,X,09/11/13 - 16:19,6538,2194,2689,-626,2.0,41.8,6.844,56.25,23.5,94.9,626.4,52880.6,0,5623,3209,2881,2838,102,102,100,233.6,
EPC\2.008,05/06/13 - 11:39,X,2.875,1.500,10567.00,10567.00,0.01,0.01,12082.00,12082.00,X,38.5,1.05,X,912000,144.000,X,05/06/13 - 13:14,28406,19142,4507,-202,8.2,129.8,6.207,92.49,120.0,195.4,201.7,547627.0,0,23931,21654,21654,8407,8015,8015,100,2516.1,
EPC\20.006,09/14/13 - 15:45,X,2.875,2.250,3750.00,2756.48,0.05,0.05,4330.71,3168.74,X,21,1.05,X,320000,95.000,X,09/14/13 - 16:07,11394,3685,4077,-891,7.0,88.9,7.469,73.00,64.9,286.2,890.8,211078.8,0,8998,5310,5588,4606,X,X,X,X,
EPC\206.001,09/11/13 - 09:25,X,2.875,2.250,1574.00,1467.36,0.01,0.01,1720.00,1591.33,X,22.8,1.05,X,114000,52.000,X,09/11/13 - 09:31,4407,2604,1447,-101,1.4,51.3,8.911,49.92,25.6,134.8,100.5,28783.1,0,4183,2833,3106,2523,X,X,X,X,
EPC\210.003,09/12/13 - 15:33,X,2.875,2.250,2121.00,1937.01,0.02121,0.02121,2485.00,2262.90,X,22.8,1.05,X,114000,52.000,X,09/12/13 - 16:21,10346,2073,5927,-1246,3.9,46.8,5.980,44.46,20.8,73.5,1246.0,109134.2,0,9383,3730,2669,3312,25,25,100,11.3,
EPC\212.003,09/10/13 - 07:51,X,2.875,1.750,2251.00,1829.41,0.05,0.05,2610.00,2104.09,X,22.8,1.05,X,114000,52.000,X,09/10/13 - 08:52,5034,573,1138,-2730,2.0,48.0,4.444,87.19,41.8,66.4,2730.1,69484.9,0,4331,3543,1041,1855,203,180,88,69.8,
EPC\213.002,09/10/13 - 09:13,X,2.875,2.250,2016.00,1581.90,0.05,0.05,2270.00,1753.95,X,22.8,1.05,X,114000,52.000,X,09/10/13 - 10:23,7854,1423,4451,-1264,3.1,48.9,4.945,91.69,44.8,130.9,1264.4,86084.8,0,6439,3026,2802,2754,352,279,79,108.5,
EPC\214.001,10/21/14 - 11:05,X,3.500,2.250,2228.00,1871.92,0.01,0.01,2533.00,2105.56,X,22,1.05,X,145000,54.000,30,10/21/14 - 11:49,10865,1619,6300,-1376,4.9,49.2,7.377,33.57,16.5,72.0,1375.8,128560.7,0,8453,3620,2954,3177,39,28,72,12.8,
EPC\214.005,09/12/13 - 10:52,X,3.500,2.250,2242.00,2173.32,0.05,0.05,2533.00,2427.90,X,22.8,1.05,X,145000,54.000,X,09/12/13 - 11:11,8734,1774,3496,-1296,3.7,49.7,7.500,62.66,31.1,137.9,1295.7,156452.0,0,7114,4252,3752,3755,X,X,77,13.4,
EPC\22.006,09/17/13 - 11:55,X,2.875,1.750,2857.61,2546.10,0.05,0.05,2821.52,2517.93,X,21,1.05,X,114000,52.000,X,09/17/13 - 12:25,9600,4022,4560,-463,3.8,47.1,8.145,97.50,46.0,133.7,462.7,71671.1,0,9027,4955,4235,2503,1041,1041,100,445.0,
EPC\24.005,09/17/13 - 11:21,X,3.500,1.750,2657.48,2185.91,0.05,0.05,2834.65,2331.64,X,21,1.05,X,114000,64.000,X,09/17/13 - 11:24,7374,3619,2705,-287,1.2,61.5,5.941,8.32,5.1,10.9,287.2,61120.5,0,6290,4235,3982,2112,X,X,X,X,
EPC\243.006,01/04/13 - 01:21,X,2.875,2.000,4806.43,4806.43,0.0480643,0.0480643,7224.41,7224.41,X,20,1.05,0.62,912000,168.000,X,01/04/13 - 02:04,20064,3989,6310,-1421,24.7,149.9,8.219,84.56,126.7,485.8,1421.0,982801.2,0,14751,9188,8834,6582,1165,1030,88,399.4,
EPC\244.006,01/04/13 - 20:07,X,2.875,2.000,7000.00,7000.00,0.05,0.05,7253.94,7253.94,X,20,1.05,0.64,912000,146.553,100,01/04/13 - 20:39,24073,8226,5795,-1990,20.6,130.0,8.257,98.90,128.6,495.1,1990.3,712282.3,0,16443,13645,13727,9197,3597,3597,100,1365.5,
EPC\244.007,02/09/14 - 10:16,X,2.875,2.000,7000.00,7000.00,0.05,0.05,7253.94,7253.94,X,21.9,1.05,0.64,912000,168.000,100,02/09/14 - 10:59,22000,8862,4817,-963,22.9,167.4,8.219,100.00,167.4,641.6,962.9,814851.5,0,17316,13660,13068,9327,4189,4189,100,1566.0,
EPC\244.009,11/02/14 - 23:27,X,3.500,2.750,7200.00,7200.00,0.05,0.05,7200.00,7200.00,X,20,1.05,0.64,1.28e+006,170.264,100,11/03/14 - 00:16,32145,8880,12738,-1844,33.0,126.2,6.977,95.14,120.1,738.8,1844.1,1164248.2,0,25928,15312,18937,18583,2406,2406,100,929.1,
EPC\245.001,02/26/14 - 13:39,X,2.875,1.500,6797.90,6387.80,0.05,0.05,9032.15,7890.42,X,23,1.05,0.68,640000,120.000,100,02/26/14 - 13:44,24932,9750,10039,-37,18.6,103.2,7.317,90.93,93.8,180.1,37.5,862966.6,0,16771,11965,12137,4874,X,X,X,X,
EPC\247.006,01/08/13 - 20:58,X,2.875,1.250,7798.56,7477.03,0.05,0.05,8218.50,7900.26,X,20,1.05,0.68,912000,145.000,100,01/08/13 - 21:22,5027,2352,-9018,-12170,5.2,135.8,7.258,100.00,135.8,179.6,12170.4,188044.7,0,3735,13807,3285,3726,2436,2436,100,934.9,
EPC\247.007,02/20/14 - 09:50,X,2.875,1.750,6998.03,6676.51,0.05,0.05,8241.47,7900.26,X,20,1.05,0.68,912000,145.000,X,02/20/14 - 10:12,23430,8827,6838,-2184,18.7,124.8,7.143,61.60,76.9,196.2,2184.0,619935.7,0,17792,12863,12015,6554,X,X,X,X,
EPC\247.008,11/24/14 - 23:23,X,2.875,1.750,6998.03,6676.51,0.05,0.05,8234.91,7900.26,X,20,1.15,0.68,912000,145.000,100,11/24/14 - 23:58,23820,7516,6790,-2375,19.4,127.3,7.115,68.52,87.2,221.5,2374.5,722215.5,0,17155,12869,12904,6531,X,X,X,X,
EPC\248.007,02/21/14 - 09:54,X,2.875,1.500,7178.48,7076.77,0.05,0.05,8001.97,7900.26,X,20,1.05,0.76,640000,120.000,40,02/21/14 - 10:38,26212,11968,9103,-206,19.6,111.0,7.595,96.19,106.8,212.8,205.7,997489.5,0,18023,13858,12896,5465,X,X,X,X,
EPC\248.008,11/23/14 - 21:11,X,2.875,1.500,6000.66,5898.95,0.0550033,0.0550033,7982.28,7900.26,X,20,1.15,0.76,640000,120.000,55,11/23/14 - 22:04,21967,2932,7692,-6007,32.1,112.3,8.867,92.05,103.4,240.5,6006.9,1596502.6,0,14949,10702,8528,5085,1846,1827,99,714.2,
EPC\250.006,02/21/14 - 09:04,X,2.875,2.000,5498.69,5165.68,0.0578084,0.0578084,8940.29,8599.08,X,20.3,1.05,0.67,912000,124.000,100,02/21/14 - 09:13,20783,5736,7735,-1817,15.9,104.0,6.792,72.24,75.1,238.0,1817.0,941931.4,0,17394,10219,9570,6870,X,X,X,X,
EPC\250.007,10/30/14 - 00:56,X,2.875,2.000,5498.69,5165.68,0.05,0.05,8940.29,8599.08,X,20,1.05,0.67,912000,124.000,100,10/30/14 - 01:14,19795,5994,6801,-1593,15.1,105.1,6.767,90.00,94.6,298.5,1593.0,987968.6,0,14800,10259,9356,6681,X,X,X,X,
EPC\251.003,02/21/14 - 11:23,X,2.875,1.750,7798.56,6952.10,0.05,0.05,8920.60,7900.26,X,20,1.05,0.68,640000,120.000,X,02/21/14 - 11:29,24162,10756,6840,-430,13.8,97.2,7.500,82.05,79.8,213.6,430.0,460226.9,0,22372,13772,13772,6786,X,X,X,X,
EPC\251.004,11/05/14 - 19:58,X,2.875,1.750,7775.59,6912.73,0.05,0.05,8917.32,7900.26,X,22,1.05,0.68,640000,120.000,100.536,11/05/14 - 20:27,25881,9560,8187,-1974,17.4,98.4,8.108,56.71,55.8,161.5,1973.9,771323.0,0,20330,13731,13426,6644,433,319,74,124.2,
EPC\251.005,11/07/14 - 18:00,X,2.875,1.750,7775.59,6912.73,0.05,0.05,8918.00,7900.85,X,22,1.05,0.68,640000,120.000,100.536,11/07/14 - 18:26,24865,10604,8100,-1699,15.5,92.7,8.072,51.90,48.1,138.7,1698.8,893975.3,0,20322,13729,13321,6651,398,302,76,117.9,
EPC\252.030,01/06/13 - 19:13,X,2.875,1.500,7398.29,7398.29,0.05,0.05,7952.76,7952.76,X,21,1.05,0.68,912000,168.000,100,01/06/13 - 19:16,21163,10450,3839,-2812,12.6,145.7,7.200,89.98,131.1,247.6,2811.5,998555.6,0,16295,13968,13037,5308,X,X,X,X,
EPC\252.031,02/26/14 - 15:55,X,2.875,1.500,7690.29,7690.29,0.05,0.05,7952.76,7952.76,X,21,1.05,0.68,912000,125.000,100,02/26/14 - 16:02,21971,9096,3527,-2072,14.2,111.8,8.295,88.34,98.7,214.9,2072.1,841556.9,0,16896,14068,13389,5508,X,X,X,X,
EPC\256.001,10/31/14 - 18:07,X,2.875,1.500,6998.03,6364.83,0.05,0.05,8508.86,7542.65,X,20,1.05,0.68,912000,124.000,100,10/31/14 - 18:36,22000,9681,5509,-1735,9.7,104.9,5.941,55.68,58.4,91.1,1734.8,839904.0,0,16578,13648,13008,4594,4127,4127,100,1590.4,
EPC\257.006,11/04/14 - 23:25,X,2.875,1.750,6456.69,5908.79,0.05,0.05,8763.12,7900.00,X,20,1.05,0.65,912000,168.000,100,11/05/14 - 00:17,19764,7263,4761,-1768,19.6,165.9,6.818,100.00,165.9,403.9,1768.3,791768.2,0,14319,11320,11177,6446,3161,3161,100,1371.0,
EPC\257.008,11/07/14 - 19:16,X,2.875,1.750,6456.69,5908.79,0.05,0.05,8763.12,7900.00,X,20,1.05,0.65,912000,168.000,100,11/07/14 - 19:23,19912,7249,4648,-1892,19.7,166.3,6.818,X,166.3,404.9,1892.4,900382.7,0,14203,11507,11336,5755,X,X,X,X,
EPC\258.006,02/11/14 - 09:49,X,2.875,1.750,5093.50,5085.30,0.05,0.05,7703.41,7200.00,X,21.1,1.05,0.74,640000,103.750,64,02/11/14 - 10:28,18289,6358,4686,-1026,13.0,95.6,8.780,88.08,84.2,264.0,1025.8,567174.5,0,14319,10391,10140,5180,1022,1022,100,393.0,
EPC\258.007,11/17/14 - 21:25,X,2.875,1.750,5093.50,5085.30,0.05,0.05,8595.80,7200.00,X,21.1,1.05,0.74,640000,103.750,64,11/17/14 - 22:07,18840,5442,5689,-2125,16.1,93.0,8.780,84.72,78.8,246.9,2125.0,788802.9,0,14637,10339,10323,5330,X,X,X,X,
EPC\259.004,02/11/14 - 08:18,X,2.875,1.750,7001.31,6919.29,0.05,0.05,7365.49,7200.00,X,21,1.05,0.68,912000,145.000,X,02/11/14 - 08:56,20888,8787,4568,-2397,17.0,131.2,6.923,95.60,125.4,310.1,2396.9,901001.0,0,15196,13008,11862,7333,4447,4447,100,1698.2,
