Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 1343664010quid (%),Pump Intake Pressure (psi (g)),
Hana-West\Hana-18.199,01/07/17 - 12:31,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,18,18,100,20.0,
Hana-West\Hana-18.200,01/11/17 - 16:53,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,154,154,100,60.9,
Hana-West\Hana-18.201,01/12/17 - 11:27,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,01/12/17 - 11:38,21784,9314,5707,-482,17.0,159.5,6.667,84.64,135.0,321.3,481.5,1704059.4,21,X,X,X,X,51,51,100,21.6,
Hana-West\Hana-18.202,01/14/17 - 09:13,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,150,150,100,61.8,
Hana-West\Hana-18.203,01/20/17 - 10:41,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,01/20/17 - 10:51,22274,8151,6242,-745,18.0,159.1,6.618,81.82,130.2,307.6,744.8,1770250.0,25,15220,12150,9912,5314,71,71,100,42.8,
Hana-West\Hana-18.204,01/28/17 - 14:50,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,113,113,100,45.6,
Hana-West\Hana-18.205,02/07/17 - 17:24,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,233,233,100,111.7,
Hana-West\Hana-18.206,02/14/17 - 17:30,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,180,180,100,99.2,
Hana-West\Hana-18.207,02/24/17 - 10:35,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,86,86,100,34.6,
Hana-West\Hana-18.208,02/25/17 - 10:13,Hana-18,3.500,1.750,4856.00,4856.00,0.04851,0.04851,4658.00,4658.00,X,25,1.05,X,912000,168.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,94,94,100,37.7,
