Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft),-389501417quid (%),Pump Intake Pressure (psi (g)),
EPC\104.001,04/26/04 - 11:59,X,3.500,2.750,2500.00,2259.24,0.05,0.05,2500.00,2259.24,X,20,1.05,X,160000,54.000,X,04/26/04 - 12:46,9837,2514,4345,-709,5.2,48.3,8.867,94.62,45.7,357.0,708.6,89728.4,0,8202,4383,6134,5780,1119,979,87,483.9,
EPC\106.001,01/02/02 - 08:35,X,3.500,1.750,5416.67,3264.71,0.05,0.05,5416.67,3264.71,X,20,1.05,X,320000,96.000,X,01/02/02 - 09:05,14156,3962,5158,-1641,10.5,86.1,7.143,98.54,84.9,216.5,1640.7,280153.6,0,9849,6500,5814,3181,134,98,73,114.5,
EPC\107.001,01/03/02 - 09:55,X,3.500,2.750,2624.67,2624.67,0.05,0.05,2624.67,2624.67,X,20,1.05,X,320000,120.000,X,01/03/02 - 10:34,11026,1510,4522,-2279,14.6,113.2,6.923,97.42,110.3,673.3,2279.0,296911.7,0,8109,5057,3810,6837,1714,1071,63,427.2,
EPC\109.001,04/26/04 - 10:45,X,3.500,2.750,2788.71,2788.71,0.05,0.05,2788.71,2788.71,X,20,1.05,X,228000,54.000,X,04/26/04 - 11:25,12301,4311,6484,-252,2.0,43.6,6.102,26.93,11.7,63.2,252.5,106798.9,0,11311,5420,5502,6837,357,357,100,211.8,
EPC\111.001,01/27/04 - 16:12,X,3.500,2.500,3221.78,2096.83,0.05,0.05,3221.78,2096.83,X,22,1.05,X,228000,54.000,X,01/27/04 - 16:29,10318,3166,5757,-653,2.7,50.5,6.360,20.96,10.6,49.0,653.2,84644.7,4,8165,4008,5333,4108,X,X,X,X,
EPC\112.001,01/27/04 - 12:34,X,3.500,1.750,3198.82,2842.96,0.05,0.05,3198.82,2842.96,X,22,1.05,X,320000,71.429,X,01/27/04 - 13:02,10450,4122,23301,-20600,11.9,56.4,14.400,14.51,8.2,42.1,20600.4,243874.0,0,X,X,X,X,132,132,100,51.8,
EPC\112.002,01/27/04 - 13:03,X,3.500,1.750,3198.82,2842.96,0.05,0.05,3198.82,2842.96,X,22,1.05,X,320000,71.000,X,01/27/04 - 13:07,10756,3513,5017,-1138,2.1,66.8,3.727,X,24.0,32.0,1137.6,108550.8,0,9262,5483,5277,2729,X,X,X,X,
EPC\139.001,04/29/04 - 09:54,X,3.500,2.750,3280.84,3280.84,0.05,0.05,3280.84,3280.84,X,20,1.05,X,228000,62.757,X,04/29/04 - 10:28,19471,5172,12444,170,6.0,42.6,6.593,75.87,32.4,188.1,170.5,193459.8,0,16343,6389,7342,7927,323,223,69,96.9,
EPC\140.002,04/30/04 - 14:57,X,3.500,2.750,3418.64,3418.64,0.05,0.05,3418.64,3418.64,X,40,1.05,X,160000,48.069,X,04/30/04 - 15:52,11135,5407,3601,-45,2.7,42.7,7.287,96.38,41.1,264.4,44.9,69762.7,4,8945,6550,6647,9239,1945,1890,97,867.7,
EPC\16.001,05/01/04 - 10:49,X,3.500,2.750,3605.64,2809.69,0.05,0.05,3605.64,2809.69,X,20,1.05,X,114000,64.000,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1275,1275,100,499.0,
