Well,Date,Well,Tubing OD (in),Plunger Diameter (in),Pump Intake Depth (ft),Pump Intake Depth TVD (ft),Damp Up,Damp Down,Formation Depth (ft),Formation Depth TVD (ft),Tubing Pressure (psi (g)),Oil API (deg.API),Water Specific Gravity (Sp.Gr.H2O),Gas Specific Gravity (Sp.Gr.AIR),Gearbox Rating (in-lb),Measured Stroke Length (in),Rated HP (HP),Dynamometer Date,PPRL (lb),MPRL (lb),PPMPL (lb),MPMPL (lb),Polished Rod Power (HP),Plunger Stroke (in),SPM (spm),Pump Volumetric Fillage (%),Effective Plunger Stroke (in),Pump Displacement (BBL/D),Unaccounted Friction (lb),Gearbox Peak Existing (in-lb),Stroke,Measured Load TV (lbf),Calculate Buoyant Rod Weight (lbf),Measured Load SV (lbf),Calc. Fluid Load (lbf),Total Gaseous Liquid Column HT (TVD) (ft),Equivalent Gas Free Liquid HT (TVD) (ft), 762406135quid (%),Pump Intake Pressure (psi (g)),
EPC\154.001,08/09/09 - 11:46,X,2.875,2.250,1852.00,1852.00,0.05,0.05,1901.00,1901.00,X,24,1.05,X,160000,34.000,X,08/09/09 - 12:33,5693,3165,1628,-218,0.4,32.1,10.345,13.07,4.2,25.6,218.1,23301.5,0,5145,3607,3913,2995,107,107,100,41.5,
EPC\155.001,03/09/09 - 11:08,X,3.500,2.250,1650.00,1650.00,0.05,0.05,1779.00,1779.00,X,24,1.05,X,114000,53.869,X,03/09/09 - 12:08,5696,2643,2033,-89,1.1,52.2,7.895,25.75,13.4,62.6,88.9,39084.3,4,5115,3209,3227,2693,1553,1553,100,592.6,
EPC\157.001,05/05/08 - 16:14,X,2.875,1.750,1552.50,1552.50,0.05,0.05,1552.50,1552.50,X,20,1.05,X,114000,40.296,X,05/05/08 - 16:59,3391,2636,120,-111,0.3,40.4,8.738,100.00,40.4,125.9,111.0,69585.2,0,3176,2988,2906,1644,299,299,100,118.4,
EPC\160.002,05/03/08 - 22:56,X,2.875,2.250,1501.50,1501.50,0.05,0.05,1501.50,1501.50,X,20,1.05,X,114000,52.148,X,05/03/08 - 23:46,3888,2810,718,13,0.5,52.3,6.360,100.00,52.3,196.4,12.7,23433.5,0,3235,2905,3267,2542,733,210,29,218.8,
EPC\163.001,03/08/09 - 17:07,X,2.875,2.250,1611.00,1611.00,0.05,0.05,1795.00,1795.00,X,24,1.05,X,114000,52.000,X,03/08/09 - 18:03,6742,1998,3324,-517,1.3,49.4,5.373,23.59,11.7,37.0,516.7,58201.3,0,5150,3105,3173,2801,5,4,92,2.8,
EPC\164.001,05/03/08 - 18:05,X,2.875,2.250,1595.00,1595.00,0.05,0.05,1595.00,1595.00,X,20,1.05,X,80000,54.000,X,05/03/08 - 18:51,6679,1495,2513,-994,4.3,52.8,8.867,97.62,51.6,269.8,993.7,78352.1,0,4436,3075,2927,2772,971,971,100,381.5,
EPC\170.001,05/05/08 - 18:02,X,2.875,2.250,1800.00,1800.00,0.05,0.05,1800.00,1800.00,X,20,1.05,X,114000,64.936,X,05/05/08 - 19:33,7475,1944,2650,-231,4.7,62.2,9.730,86.78,54.0,309.9,231.3,135721.8,0,5838,3470,3305,3128,203,194,95,299.7,
EPC\178.002,04/29/08 - 22:50,X,3.500,2.250,1696.00,1696.00,0.05,0.05,1696.00,1696.00,X,20,1.05,X,114000,52.148,X,04/29/08 - 23:04,5828,2240,1572,-153,2.5,51.0,10.056,97.04,49.5,293.8,153.4,54766.5,0,4653,3274,4514,2918,X,X,X,X,
EPC\19.002,08/11/09 - 17:02,X,3.500,2.750,3513.78,2855.78,0.05,0.05,3697.51,3005.52,X,19,1.05,X,320000,83.336,X,08/11/09 - 18:22,14519,3660,7561,-790,8.4,70.3,8.333,34.42,24.2,177.8,790.1,209629.2,0,11830,5366,5836,7002,481,163,34,73.0,
EPC\193.001,03/08/09 - 19:18,X,2.875,2.250,1276.00,1276.00,0.05,0.05,1814.50,1814.50,X,24,1.05,X,114000,64.000,X,03/08/09 - 20:17,5797,1516,2817,-509,2.1,61.7,8.738,12.10,7.5,38.5,509.1,168462.4,0,4356,2474,2059,2131,19,19,100,7.8,
EPC\193.004,08/09/09 - 08:10,X,2.875,2.250,1276.00,1269.83,0.05,0.05,1814.50,1791.82,X,24,1.05,X,114000,52.148,X,08/09/09 - 09:07,5443,1774,2640,-425,1.3,50.0,8.696,10.79,5.4,27.7,424.8,29559.6,0,4842,2455,2067,2237,32,32,100,12.2,
EPC\198.001,03/08/09 - 16:30,X,3.500,2.750,1470.00,1470.00,0.05,0.05,1540.00,1540.00,X,24,1.05,X,144000,54.000,X,03/08/09 - 16:49,3320,2912,651,-47,0.3,53.6,7.531,55.51,29.8,197.7,47.3,18996.2,0,3372,2846,2945,3701,X,X,X,X,
